"Subset type","s","N_32","N_64","N_128","N_256","N_512"
"dispersed",8,"54.36 (<0.001)","54.46 (0.002)","58.65 (<0.001)","58.65 (<0.001)","60.35 (<0.001)"
"dispersed",16,"40.67 (<0.001)","41.50 (<0.001)","47.14 (<0.001)","47.26 (<0.001)","48.25 (<0.001)"
"dispersed",32,"—","32.16 (<0.001)","35.52 (<0.001)","37.90 (<0.001)","39.09 (<0.001)"
"dispersed",64,"—","—","26.35 (<0.001)","28.42 (<0.001)","29.83 (<0.001)"
"clustered",8,"17.59 (<0.001)","7.79 (<0.001)","5.04 (<0.001)","2.98 (<0.001)","2.65 (<0.001)"
"clustered",16,"26.03 (0.113)","12.51 (<0.001)","9.02 (<0.001)","4.13 (<0.001)","3.26 (<0.001)"
"clustered",32,"—","17.57 (0.002)","9.91 (<0.001)","7.74 (<0.001)","3.23 (<0.001)"
"clustered",64,"—","—","13.91 (<0.001)","8.15 (<0.001)","6.18 (<0.001)"
