"Covariance setting","N_128_s_8","N_128_s_64","N_512_s_8","N_512_s_64"
"λ = 0.00","0.00","0.00","0.00","0.00"
"λ = 0.10","3.04","-1.70","7.46","-0.30"
"λ = 0.25","3.11","0.22","4.10","1.30"
"λ = 0.50","4.57","-2.09","5.77","-2.78"
"λ = 0.75","8.39","-1.81","2.49","-2.19"
"λ = 1.00","1.26","-3.49","1.87","-0.18"
