"Covariance setting","N_128_s_8","N_128_s_64","N_512_s_8","N_512_s_64"
"h / H = 0.05","D: 0.000 (<0.001) / C: 0.627 (0.004)","D: 0.002 (<0.001) / C: 0.627 (0.264)","D: 0.000 (<0.001) / C: 0.774 (0.002)","D: 0.000 (<0.001) / C: 0.774 (0.098)"
"h / H = 0.10","D: 0.000 (<0.001) / C: 0.792 (0.004)","D: 0.044 (<0.001) / C: 0.792 (0.264)","D: 0.000 (<0.001) / C: 0.880 (0.002)","D: 0.013 (<0.001) / C: 0.880 (0.098)"
"h / H = 0.25","D: 0.021 (<0.001) / C: 0.911 (0.004)","D: 0.285 (<0.001) / C: 0.911 (0.264)","D: 0.018 (<0.001) / C: 0.950 (0.002)","D: 0.174 (<0.001) / C: 0.950 (0.098)"
"h / H = 0.50","D: 0.100 (<0.001) / C: 0.951 (0.004)","D: 0.505 (<0.001) / C: 0.951 (0.264)","D: 0.091 (<0.001) / C: 0.973 (0.002)","D: 0.383 (<0.001) / C: 0.973 (0.098)"
"h / H = 1.00","D: 0.194 (<0.001) / C: 0.969 (0.004)","D: 0.643 (<0.001) / C: 0.969 (0.264)","D: 0.179 (<0.001) / C: 0.983 (0.002)","D: 0.532 (<0.001) / C: 0.983 (0.098)"
