"Covariance setting","N_128_s_8","N_128_s_64","N_512_s_8","N_512_s_64"
"-1","D: 0.169 (<0.001) / C: 0.967 (0.004)","D: 0.619 (<0.001) / C: 0.967 (0.264)","D: 0.155 (<0.001) / C: 0.982 (0.002)","D: 0.504 (<0.001) / C: 0.982 (0.098)"
"-0.5","D: 0.236 (<0.001) / C: 0.975 (0.004)","D: 0.693 (<0.001) / C: 0.975 (0.264)","D: 0.219 (<0.001) / C: 0.986 (0.002)","D: 0.589 (<0.001) / C: 0.986 (0.098)"
"-0.1","D: 0.309 (<0.001) / C: 0.982 (0.004)","D: 0.758 (<0.001) / C: 0.982 (0.264)","D: 0.289 (<0.001) / C: 0.990 (0.002)","D: 0.667 (<0.001) / C: 0.990 (0.098)"
