"Covariance setting","N_128_s_8","N_128_s_64","N_512_s_8","N_512_s_64"
"λ = 0.00","D: 8.00 (1.000) / C: 8.00 (1.000)","D: 64.00 (1.000) / C: 64.00 (1.000)","D: 8.00 (1.000) / C: 8.00 (1.000)","D: 64.00 (1.000) / C: 64.00 (1.000)"
"λ = 0.10","D: 7.75 (<0.001) / C: 4.89 (<0.001)","D: 31.32 (0.052) / C: 15.08 (<0.001)","D: 7.77 (<0.001) / C: 4.81 (<0.001)","D: 34.14 (<0.001) / C: 10.82 (<0.001)"
"λ = 0.25","D: 7.41 (<0.001) / C: 3.09 (<0.001)","D: 19.28 (0.022) / C: 7.06 (<0.001)","D: 7.45 (<0.001) / C: 3.01 (<0.001)","D: 22.05 (<0.001) / C: 4.83 (<0.001)"
"λ = 0.50","D: 6.91 (<0.001) / C: 1.92 (<0.001)","D: 12.47 (0.010) / C: 3.76 (<0.001)","D: 6.97 (<0.001) / C: 1.86 (<0.001)","D: 14.49 (<0.001) / C: 2.52 (<0.001)"
"λ = 0.75","D: 6.49 (<0.001) / C: 1.39 (<0.001)","D: 9.53 (0.003) / C: 2.57 (<0.001)","D: 6.56 (<0.001) / C: 1.34 (<0.001)","D: 10.98 (<0.001) / C: 1.71 (<0.001)"
"λ = 1.00","D: 6.12 (<0.001) / C: 1.10 (<0.001)","D: 7.85 (<0.001) / C: 1.96 (<0.001)","D: 6.20 (<0.001) / C: 1.05 (<0.001)","D: 8.91 (<0.001) / C: 1.29 (<0.001)"
