"Covariance setting","N_128_s_8","N_128_s_64","N_512_s_8","N_512_s_64"
"h/H = 0.05","0.2997","0.0889111","0.924076","0.629371"
"h/H = 0.10","0.321678","0.0689311","0.424575","0.004995"
"h/H = 0.25","0.0669331","0.000999001","0.0689311","0.000999001"
"h/H = 0.50","0.000999001","0.000999001","0.001998","0.000999001"
"h/H = 1.00","0.000999001","0.000999001","0.002997","0.000999001"
