"Covariance setting","N_128_s_8","N_128_s_64","N_512_s_8","N_512_s_64"
"-1","D: 0.021 (<0.001) / C: 0.829 (<0.001)","D: 0.120 (0.064) / C: 0.329 (<0.001)","D: 0.020 (<0.001) / C: 0.897 (<0.001)","D: 0.102 (<0.001) / C: 0.633 (<0.001)"
"-0.5","D: 0.031 (<0.001) / C: 0.867 (<0.001)","D: 0.153 (0.137) / C: 0.412 (<0.001)","D: 0.029 (<0.001) / C: 0.921 (<0.001)","D: 0.133 (0.006) / C: 0.704 (<0.001)"
"-0.1","D: 0.042 (<0.001) / C: 0.899 (<0.001)","D: 0.185 (0.226) / C: 0.495 (<0.001)","D: 0.039 (<0.001) / C: 0.941 (<0.001)","D: 0.164 (0.019) / C: 0.766 (<0.001)"
