"Subset type","s","N_32","N_64","N_128","N_256","N_512"
"dispersed",8,"0.080 (0.003)","0.065 (<0.001)","0.046 (<0.001)","0.046 (<0.001)","0.043 (<0.001)"
"dispersed",16,"0.164 (0.254)","0.118 (<0.001)","0.111 (0.002)","0.106 (<0.001)","0.079 (<0.001)"
"dispersed",32,"—","0.183 (0.114)","0.176 (0.108)","0.160 (0.016)","0.132 (<0.001)"
"dispersed",64,"—","—","0.195 (0.260)","0.190 (0.060)","0.173 (0.027)"
"clustered",8,"0.707 (<0.001)","0.830 (<0.001)","0.908 (<0.001)","0.944 (<0.001)","0.946 (<0.001)"
"clustered",16,"0.483 (<0.001)","0.702 (<0.001)","0.786 (<0.001)","0.895 (<0.001)","0.921 (<0.001)"
"clustered",32,"—","0.516 (<0.001)","0.690 (<0.001)","0.795 (<0.001)","0.880 (<0.001)"
"clustered",64,"—","—","0.518 (<0.001)","0.697 (<0.001)","0.783 (<0.001)"
