"Covariance setting","N_128_s_8","N_128_s_64","N_512_s_8","N_512_s_64"
"h/H = 0.05","7.17","-0.53","6.28","-1.43"
"h/H = 0.10","9.34","-0.65","0.18","-2.15"
"h/H = 0.25","3.65","1.44","6.11","-0.05"
"h/H = 0.50","4.47","1.59","2.60","1.82"
"h/H = 1.00","1.22","-0.36","4.14","-3.12"
