"Metric","Independent_Mean","BM_Lambda1_Mean","Absolute_Change","Percent_Change"
"RMSE",0.9958,0.981,-0.0148,-1.48
"MAE",0.7975,0.7984,9e-04,0.12
"R2",-0.0473,-0.3652,-0.3179,-672.69
