"Subset type","Subset size","N_32","N_64","N_128","N_256","N_512"
"dispersed",8,"41.83***","47.62***","51.95***","51.95***","53.56***"
"dispersed",16,"30.45***","33.50***","36.77***","39.25***","40.81***"
"dispersed",32,"—","25.55***","27.47***","30.29***","32.44***"
"dispersed",64,"—","—","17.45***","20.69***","24.18***"
"clustered",8,"7.08","3.10*","1.30**","1.30**","0.72**"
"clustered",16,"10.40","3.10","3.10","1.30*","1.30*"
"clustered",32,"—","4.74","2.35","1.99","1.21"
"clustered",64,"—","—","1.30","1.99","0.72"
