"Covariance setting","N_128_s_8","N_128_s_64","N_512_s_8","N_512_s_64"
"h/H = 0.05","0.000999001","0.456543","0.000999001","0.022977"
"h/H = 0.10","0.000999001","0.003996","0.000999001","0.003996"
"h/H = 0.25","0.000999001","0.000999001","0.000999001","0.000999001"
"h/H = 0.50","0.000999001","0.000999001","0.000999001","0.000999001"
"h/H = 1.00","0.003996","0.000999001","0.004995","0.000999001"
