"Covariance setting","N_128_s_8","N_128_s_64","N_512_s_8","N_512_s_64"
"λ = 0.00","0.00","0.00","0.00","0.00"
"λ = 0.10","48.45","-34.08","-8.96","-103.69"
"λ = 0.25","21.32","-110.43","-80.13","-128.85"
"λ = 0.50","12.76","-175.57","-149.07","-155.09"
"λ = 0.75","3.31","-443.36","-52.63","-356.57"
"λ = 1.00","3.74","-778.60","-16.63","-712.82"
