"Scenario","Type","Avg_Variance","Max_Variance","Min_Variance","Avg_AbsDelta","n_Metrics"
"Bad","Correlation",58520.3814678056,116941.984474723,98.778460888578,16.7658683164384,2
"Bad","Error",1215.86446131083,10000.433551094,0.0640329199209759,3.79400698929689,11
"Bad","Percentage Error",0.119315768812274,0.200173088492222,0.0156384447194488,0.235993783940394,3
"Bad","R-squared",45.1119551138994,88.2719002507239,1.95200997707499,2.74658939322468,2
"Good","Correlation",4.5601100507872e-05,7.80913988001687e-05,1.31108022155754e-05,0.00517759155407893,2
"Good","Error",334776.13115441,3682492.89593145,0.0014369927045024,12.9912017290692,11
"Good","Percentage Error",0.248003175066765,0.55373030891225,0.0040408816146191,0.335054884584034,3
"Good","R-squared",5.45020739065421e-05,5.65625315491003e-05,5.24416162639838e-05,0.00585579713922323,2
"UC1","Correlation",0.0350557138820767,0.0396310030511979,0.0304804247129554,0.263679600726668,2
"UC1","Error",16.4457125098137,101.058585916044,0.313725490196078,2.04348340851397,11
"UC1","Percentage Error",2.20165366961822,3.01507537688442,0.574810255085821,1.53185319445471,3
"UC1","R-squared",0.110291300786613,0.112465426591672,0.108117174981554,0.485794556719083,2
"UC2_st","Correlation",0.135943351737117,0.137689110057891,0.134197593416342,0.214735873385374,2
"UC2_st","Error",324.962185340165,2098.1451774086,0.0522719389849196,2.0442495713722,11
"UC2_st","Percentage Error",0.246911352869571,0.620240873150975,0.0577225989786654,0.354184258704327,3
"UC2_st","R-squared",0.268815551711851,0.29344672322611,0.244184380197593,0.368276887812627,2
"UC2_wk","Correlation",0.0610206680147358,0.0650363698476656,0.0570049661818059,0.178449747521949,2
"UC2_wk","Error",18.3213946763013,86.4516658285872,0.0312389717123205,1.08680623105666,11
"UC2_wk","Percentage Error",0.216036115067831,0.566041847954267,0.0405080640704006,0.315582601207466,3
"UC2_wk","R-squared",0.208746542118214,0.23503156748728,0.182461516749148,0.342116528378131,2
"UC3","Correlation",0.00345050482652493,0.00436355967562516,0.0025374499774247,0.0448254556964667,2
"UC3","Error",297.227782736555,3153.00329673191,0.0212115337746259,1.29932381114547,11
"UC3","Percentage Error",0.275963958815441,0.664791404544075,0.0189144171129186,0.371536730002575,3
"UC3","R-squared",0.0106929831626785,0.011293978839284,0.010091987486073,0.0784289615963252,2
