"Metric","median_z","mean_z","sd_z","iqr_z","min_z","max_z","median_percentile","mean_percentile","sd_percentile","iqr_percentile","prop_above95","n_above95","total_trees","median_p","mean_p","prop_p_lt_0_05","prop_p_lt_0_01","wilcox_p","t_test_p"
"MinPD",8.50601834868022,8.5515938701621,0.559227830758535,0.705269354858203,7.27790222370712,9.82676947621012,1,1,0,0,1,2000,2000,0.000999000999000999,0.000999000999000999,1,1,0,0
"MeanPD",4.74599370813007,4.79626966212343,0.539149953300039,0.692184897727141,3.51759567272594,6.19874328198611,1,1,0,0,1,2000,2000,0.000999000999000999,0.000999000999000999,1,1,0,0
"MeanNND",7.95933823312015,8.0023542940424,0.462086225273666,0.668788545245544,6.75726196547943,9.36121741605169,1,1,0,0,1,2000,2000,0.000999000999000999,0.000999000999000999,1,1,0,0
