"Latin name","C512","C256","C128","C64","C32"
"Dicrostonyx hudsonius","Yes","Yes","No","No","No"
"Dicrostonyx richardsoni","Yes","No","No","No","No"
"Dicrostonyx torquatus","Yes","Yes","No","No","No"
"Dinaromys bogdanovi","Yes","Yes","Yes","No","No"
"Drymoreomys albimaculatus","Yes","Yes","Yes","No","No"
"Eligmodontia bolsonensis","Yes","Yes","Yes","Yes","Yes"
"Eligmodontia dunaris","Yes","Yes","No","No","No"
"Eligmodontia hirtipes","Yes","No","No","No","No"
"Eligmodontia moreni","Yes","Yes","No","No","No"
"Eligmodontia morgani","Yes","No","No","No","No"
"Eligmodontia puerulus","Yes","No","No","No","No"
"Eligmodontia typus","Yes","No","No","No","No"
"Ellobius fuscocapillus","Yes","Yes","No","No","No"
"Ellobius talpinus","Yes","Yes","Yes","No","No"
"Ellobius tancrei","Yes","No","No","No","No"
"Eolagurus luteus","Yes","Yes","Yes","No","No"
"Eothenomys cachinus","Yes","No","No","No","No"
"Eothenomys chinensis","Yes","No","No","No","No"
"Eothenomys custos","Yes","Yes","Yes","No","No"
"Eothenomys melanogaster","Yes","Yes","Yes","No","No"
"Eothenomys miletus","Yes","Yes","Yes","No","No"
"Eothenomys olitor","Yes","Yes","No","No","No"
"Eothenomys proditor","Yes","Yes","No","No","No"
"Eothenomys wardi","Yes","No","No","No","No"
"Eremoryzomys polius","Yes","No","No","No","No"
"Euneomys chinchilloides","Yes","Yes","Yes","No","No"
"Euneomys mordax","Yes","No","No","No","No"
"Euryoryzomys emmonsae","No","No","No","No","No"
"Euryoryzomys lamia","Yes","Yes","No","No","No"
"Euryoryzomys macconnelli","No","No","No","No","No"
"Euryoryzomys nitidus","Yes","Yes","No","No","No"
"Euryoryzomys russatus","Yes","No","No","No","No"
"Galenomys garleppi","Yes","No","No","No","No"
"Geoxus valdivianus","Yes","Yes","No","No","No"
"Graomys centralis","Yes","No","No","No","No"
"Graomys domorum","Yes","No","No","No","No"
"Graomys griseoflavus","Yes","No","No","No","No"
"Habromys chinanteco","Yes","No","No","No","No"
"Habromys delicatulus","Yes","No","No","No","No"
"Habromys ixtlani","Yes","No","No","No","No"
"Habromys lepturus","Yes","No","No","No","No"
"Habromys lophurus","Yes","No","No","No","No"
"Habromys simulatus","Yes","No","No","No","No"
"Handleyomys alfaroi","Yes","Yes","Yes","Yes","Yes"
"Handleyomys chapmani","Yes","Yes","No","No","No"
"Handleyomys guerrerensis","Yes","No","No","No","No"
"Handleyomys intectus","Yes","No","No","No","No"
"Handleyomys melanotis","Yes","No","No","No","No"
"Handleyomys rostratus","Yes","No","No","No","No"
"Handleyomys saturatior","Yes","Yes","Yes","No","No"
"Hodomys alleni","Yes","No","No","No","No"
"Holochilus brasiliensis","Yes","No","No","No","No"
"Holochilus chacarius","Yes","Yes","No","No","No"
"Holochilus sciureus","Yes","No","No","No","No"
"Hylaeamys acritus","Yes","Yes","No","No","No"
"Hylaeamys laticeps","Yes","No","No","No","No"
"Hylaeamys megacephalus","Yes","Yes","Yes","Yes","No"
"Hylaeamys perenensis","Yes","No","No","No","No"
"Hylaeamys yunganus","Yes","Yes","Yes","No","No"
"Irenomys tarsalis","Yes","Yes","No","No","No"
"Isthmomys pirrensis","Yes","No","No","No","No"
"Juliomys ossitenuis","Yes","Yes","No","No","No"
"Juliomys pictipes","Yes","Yes","Yes","No","No"
"Juliomys rimofrons","Yes","Yes","Yes","No","No"
"Juscelinomys huanchacae","Yes","Yes","Yes","Yes","No"
"Kunsia tomentosus","Yes","Yes","Yes","No","No"
"Lagurus lagurus","Yes","Yes","Yes","Yes","No"
"Lasiopodomys brandtii","Yes","No","No","No","No"
"Lasiopodomys mandarinus","Yes","No","No","No","No"
"Lemmus amurensis","Yes","Yes","Yes","Yes","Yes"
"Lemmus lemmus","Yes","No","No","No","No"
"Lemmus sibiricus","Yes","Yes","Yes","Yes","No"
"Lemmus trimucronatus","Yes","No","No","No","No"
"Lenoxus apicalis","Yes","Yes","Yes","No","No"
"Loxodontomys micropus","Yes","Yes","No","No","No"
"Lundomys molitor","Yes","No","No","No","No"
"Megadontomys cryophilus","Yes","No","No","No","No"
"Megadontomys nelsoni","Yes","Yes","Yes","No","No"
"Megadontomys thomasi","Yes","No","No","No","No"
"Melanomys caliginosus","Yes","Yes","Yes","No","No"
"Mesocricetus auratus","Yes","No","No","No","No"
"Mesocricetus brandti","Yes","No","No","No","No"
"Mesocricetus newtoni","Yes","Yes","Yes","Yes","No"
"Mesocricetus raddei","Yes","No","No","No","No"
"Microakodontomys transitorius","No","No","No","No","No"
"Microryzomys minutus","Yes","Yes","No","No","No"
"Microtus abbreviatus","Yes","No","No","No","No"
"Microtus agrestis","Yes","No","No","No","No"
"Microtus anatolicus","Yes","Yes","Yes","Yes","No"
"Microtus arvalis","Yes","No","No","No","No"
"Microtus bavaricus","Yes","No","No","No","No"
"Microtus cabrerae","Yes","No","No","No","No"
"Microtus californicus","Yes","No","No","No","No"
"Microtus canicaudus","Yes","No","No","No","No"
"Microtus chrotorrhinus","Yes","No","No","No","No"
"Microtus clarkei","Yes","No","No","No","No"
"Microtus daghestanicus","Yes","No","No","No","No"
"Microtus dogramacii","Yes","Yes","Yes","Yes","No"
"Microtus duodecimcostatus","Yes","No","No","No","No"
"Microtus felteni","Yes","No","No","No","No"
"Microtus fortis","Yes","Yes","No","No","No"
"Microtus gerbei","Yes","Yes","No","No","No"
"Microtus guatemalensis","Yes","No","No","No","No"
"Microtus guentheri","Yes","Yes","No","No","No"
"Microtus ilaeus","Yes","Yes","Yes","Yes","No"
"Microtus irani","Yes","No","No","No","No"
"Microtus kikuchii","Yes","Yes","No","No","No"
"Microtus levis","Yes","Yes","Yes","No","No"
"Microtus liechtensteini","Yes","No","No","No","No"
"Microtus limnophilus","Yes","No","No","No","No"
"Microtus longicaudus","Yes","Yes","No","No","No"
"Microtus lusitanicus","Yes","Yes","Yes","Yes","Yes"
"Microtus majori","Yes","Yes","No","No","No"
"Microtus maximowiczii","Yes","No","No","No","No"
"Microtus middendorffii","Yes","Yes","Yes","No","No"
"Microtus miurus","Yes","Yes","Yes","Yes","No"
"Microtus mongolicus","Yes","No","No","No","No"
"Microtus montanus","Yes","Yes","Yes","No","No"
"Microtus montebelli","Yes","No","No","No","No"
"Microtus multiplex","Yes","Yes","No","No","No"
"Microtus oaxacensis","Yes","Yes","No","No","No"
"Microtus ochrogaster","Yes","No","No","No","No"
"Microtus oeconomus","Yes","Yes","No","No","No"
"Microtus oregoni","Yes","No","No","No","No"
"Microtus paradoxus","Yes","Yes","No","No","No"
"Microtus pennsylvanicus","Yes","No","No","No","No"
"Microtus pinetorum","Yes","Yes","Yes","No","No"
"Microtus quasiater","Yes","Yes","No","No","No"
"Microtus richardsoni","Yes","Yes","No","No","No"
"Microtus sachalinensis","Yes","Yes","Yes","Yes","No"
"Microtus savii","Yes","Yes","No","No","No"
"Microtus schelkovnikovi","Yes","Yes","No","No","No"
