"Analysis","Pool","N","s","Subset_Type","Metric","Observed","Baseline_Mean","Baseline_SD","Baseline_Q025","Baseline_Q975","SES","P_value","Tail","Covariance_Model","Covariance_Param"
"Carnivora_N261","Carnivora_N261",261,20,"dispersed","MinPD",27.6665217814,3.74761540585055,2.38180308492438,0.3465695404,9.525250274,10.0423525886519,0.000999000999000999,"upper",NA,NA
"Carnivora_N261","Carnivora_N261",261,20,"dispersed","MeanPD",68.8725076996732,66.3526776139802,2.09447580179689,61.1060634091999,69.0229481998919,1.20308388549112,0.038961038961039,"upper",NA,NA
"Carnivora_N261","Carnivora_N261",261,20,"dispersed","MeanNND",38.507179663995,19.147668859763,3.20357462805101,13.2669852642099,25.6988848416809,6.04309655680161,0.000999000999000999,"upper",NA,NA
"Carnivora_N261","Carnivora_N261",261,20,"dispersed","MaxPD",85.9864928776,85.9864912105744,5.76349597543782e-07,85.98649013199,85.9864923447,2.89238626030952,0.002997002997003,"upper",NA,NA
"Carnivora_N261","Carnivora_N261",261,20,"clustered","MinPD",0.2136514338,3.74761540585055,2.38180308492438,0.3465695404,9.525250274,-1.48373473626714,0.00799200799200799,"lower",NA,NA
"Carnivora_N261","Carnivora_N261",261,20,"clustered","MeanPD",9.09550428799316,66.3526776139802,2.09447580179689,61.1060634091999,69.0229481998919,-27.3372331524981,0.000999000999000999,"lower",NA,NA
"Carnivora_N261","Carnivora_N261",261,20,"clustered","MeanNND",2.971028224795,19.147668859763,3.20357462805101,13.2669852642099,25.6988848416809,-5.04955948062603,0.000999000999000999,"lower",NA,NA
"Carnivora_N261","Carnivora_N261",261,20,"clustered","MaxPD",11.486545475,85.9864912105744,5.76349597543782e-07,85.98649013199,85.9864923447,-129261729.431354,0.000999000999000999,"lower",NA,NA
