"Analysis","Pool","N","s","Subset_Type","Metric","Observed","Baseline_Mean","Baseline_SD","Baseline_Q025","Baseline_Q975","SES","P_value","Tail","Covariance_Model","Covariance_Param","Covariance_Param_Label"
"Cricetidae_C128","Cricetidae_C128",128,8,"dispersed","neff_mean",7.41220893326799,6.01887621579117,0.48302233599049,4.92913945540022,6.81144627776338,2.88461343018359,0.000999000999000999,"upper","lambda_BM",0.25,"lambda=0.25"
"Cricetidae_C128","Cricetidae_C128",128,8,"clustered","off_mean",0.226876666095589,0.0521144847154961,0.018137470194453,0.0264193969639432,0.0978021000001971,9.63542211270124,0.000999000999000999,"upper","lambda_BM",0.25,"lambda=0.25"
"Cricetidae_C128","Cricetidae_C128",128,8,"clustered","rmax",0.245795557543538,0.192166586609216,0.0251574744824375,0.144263544934092,0.235776469588572,2.1317311072604,0.003996003996004,"upper","lambda_BM",0.25,"lambda=0.25"
"Cricetidae_C128","Cricetidae_C128",128,8,"clustered","neff_mean",3.0928180991959,6.01887621579117,0.48302233599049,4.92913945540022,6.81144627776338,-6.0578111995485,0.000999000999000999,"lower","lambda_BM",0.25,"lambda=0.25"
"Cricetidae_C128","Cricetidae_C128",128,8,"dispersed","off_mean",0.00457773376016081,0.0208457938861984,0.00725498807778121,0.0105677587855773,0.0391208400000788,-2.24232761675507,0.000999000999000999,"lower","lambda_BM",0.1,"lambda=0.1"
"Cricetidae_C128","Cricetidae_C128",128,8,"dispersed","rmax",0.0330212856772719,0.0768666346436863,0.010062989792975,0.0577054179736366,0.0943105878354286,-4.35708967895634,0.000999000999000999,"lower","lambda_BM",0.1,"lambda=0.1"
"Cricetidae_C128","Cricetidae_C128",128,8,"dispersed","neff_mean",7.75259033911971,7.0219574530499,0.287412599413898,6.33759533941094,7.4615202155665,2.54210458260962,0.000999000999000999,"upper","lambda_BM",0.1,"lambda=0.1"
"Cricetidae_C128","Cricetidae_C128",128,8,"clustered","off_mean",0.0907506664382354,0.0208457938861984,0.00725498807778121,0.0105677587855773,0.0391208400000788,9.63542211270124,0.000999000999000999,"upper","lambda_BM",0.1,"lambda=0.1"
"Cricetidae_C128","Cricetidae_C128",128,8,"clustered","rmax",0.098318223017415,0.0768666346436863,0.010062989792975,0.0577054179736366,0.0943105878354286,2.1317311072604,0.003996003996004,"upper","lambda_BM",0.1,"lambda=0.1"
"Cricetidae_C128","Cricetidae_C128",128,8,"clustered","neff_mean",4.8928279277635,7.0219574530499,0.287412599413898,6.33759533941094,7.4615202155665,-7.40791993680231,0.000999000999000999,"lower","lambda_BM",0.1,"lambda=0.1"
"Cricetidae_C128","Cricetidae_C128",128,8,"dispersed","off_mean",0,0,0,0,0,NA,1,"lower","lambda_BM",0,"lambda=0"
"Cricetidae_C128","Cricetidae_C128",128,8,"dispersed","rmax",0,0,0,0,0,NA,1,"lower","lambda_BM",0,"lambda=0"
"Cricetidae_C128","Cricetidae_C128",128,8,"dispersed","neff_mean",8,8,0,8,8,NA,1,"upper","lambda_BM",0,"lambda=0"
"Cricetidae_C128","Cricetidae_C128",128,8,"clustered","off_mean",0,0,0,0,0,NA,1,"upper","lambda_BM",0,"lambda=0"
"Cricetidae_C128","Cricetidae_C128",128,8,"clustered","rmax",0,0,0,0,0,NA,1,"upper","lambda_BM",0,"lambda=0"
"Cricetidae_C128","Cricetidae_C128",128,8,"clustered","neff_mean",8,8,0,8,8,NA,1,"lower","lambda_BM",0,"lambda=0"
"Cricetidae_C128","Cricetidae_C128",128,8,"dispersed","off_mean",5.91094798884535e-10,0.0010232835617394,0.00314179547361159,5.14486707967104e-07,0.0106849962090331,-0.325700058848294,0.000999000999000999,"lower","OU",0.05,"half_life_frac=0.05"
"Cricetidae_C128","Cricetidae_C128",128,8,"dispersed","rmax",8.60822517522953e-09,0.025157157894217,0.0750503171676544,8.07653933119833e-06,0.206553129753976,-0.335203770422361,0.000999000999000999,"lower","OU",0.05,"half_life_frac=0.05"
"Cricetidae_C128","Cricetidae_C128",128,8,"dispersed","neff_mean",7.99999996689869,7.95297439996895,0.1217842097946,7.53871665403833,7.99997118895223,0.386138457596918,0.000999000999000999,"upper","OU",0.05,"half_life_frac=0.05"
"Cricetidae_C128","Cricetidae_C128",128,8,"clustered","off_mean",0.112944951671465,0.0010232835617394,0.00314179547361159,5.14486707967104e-07,0.0106849962090331,35.6234735996575,0.000999000999000999,"upper","OU",0.05,"half_life_frac=0.05"
"Cricetidae_C128","Cricetidae_C128",128,8,"clustered","rmax",0.627326862224783,0.025157157894217,0.0750503171676544,8.07653933119833e-06,0.206553129753976,8.02354642932931,0.003996003996004,"upper","OU",0.05,"half_life_frac=0.05"
"Cricetidae_C128","Cricetidae_C128",128,8,"clustered","neff_mean",4.77462326693376,7.95297439996895,0.1217842097946,7.53871665403833,7.99997118895223,-26.0982202733487,0.000999000999000999,"lower","OU",0.05,"half_life_frac=0.05"
"Cricetidae_C128","Cricetidae_C128",128,8,"dispersed","off_mean",7.88818935530722e-06,0.00498778724205928,0.00657786237581362,0.000302570133314708,0.0240582482600553,-0.757069511064071,0.000999000999000999,"lower","OU",0.1,"half_life_frac=0.1"
"Cricetidae_C128","Cricetidae_C128",128,8,"dispersed","rmax",9.1831835442116e-05,0.0933852241984211,0.128268002015304,0.00284097447976824,0.454452513503582,-0.727331765500234,0.000999000999000999,"lower","OU",0.1,"half_life_frac=0.1"
"Cricetidae_C128","Cricetidae_C128",128,8,"dispersed","neff_mean",7.99955829475463,7.77021324692617,0.244922084540698,7.13337916374461,7.98311766329395,0.936400032110406,0.000999000999000999,"upper","OU",0.1,"half_life_frac=0.1"
"Cricetidae_C128","Cricetidae_C128",128,8,"clustered","off_mean",0.306075656534634,0.00498778724205928,0.00657786237581362,0.000302570133314708,0.0240582482600553,45.7729049485217,0.000999000999000999,"upper","OU",0.1,"half_life_frac=0.1"
"Cricetidae_C128","Cricetidae_C128",128,8,"clustered","rmax",0.792039486427183,0.0933852241984211,0.128268002015304,0.00284097447976824,0.454452513503582,5.4468320333344,0.003996003996004,"upper","OU",0.1,"half_life_frac=0.1"
"Cricetidae_C128","Cricetidae_C128",128,8,"clustered","neff_mean",2.76894703449744,7.77021324692617,0.244922084540698,7.13337916374461,7.98311766329395,-20.4198254388027,0.000999000999000999,"lower","OU",0.1,"half_life_frac=0.1"
