"Tree","Model","Metric","Mean_Dispersed","Mean_Clustered","Mean_Random","P_Dispersed_vs_Clustered","P_Dispersed_vs_Random","P_Random_vs_Clustered","N_Dispersed","N_Clustered","N_Random"
"large_balanced","Lambda0.5","ess_1",4.96171927773533,3.04266270499039,4.86364786905301,0.5,0.437562437562438,0.000999000999000999,1,1,1000
"large_balanced","Lambda0.5","ess_2",10.2999149001796,6.00989520436379,9.69948325170683,0.5,0.201798201798202,0.000999000999000999,1,1,1000
"large_balanced","Lambda0.5","K",1.0437378010173,1.3587347693843,1.08322192856155,0.5,0.430569430569431,0.0779220779220779,1,1,1000
"large_balanced","Lambda0.5","Lambda",0.999926686256414,0.999926686256414,0.984162342592484,1,1,0.785214785214785,1,1,1000
"large_balanced","Lambda0.5","max_offdiag_cor",0.793228489179485,0.888888888888889,0.878014936041553,0.5,0.000999000999000999,0.333666333666334,1,1,1000
"large_balanced","Lambda0.5","mean_offdiag_cor",0.175786366604384,0.307003353722272,0.181406156906786,0.5,0.437562437562438,0.000999000999000999,1,1,1000
"large_balanced","Lambda0.5","MoransI",-0.000900086639233878,0.0734611989757536,0.0461408287048757,0.5,0.004995004995005,0.184815184815185,1,1,1000
"large_balanced","Lambda0.5","mpnns",0.46950927737277,0.647747939152037,0.463210727998997,0.5,0.566433566433566,0.000999000999000999,1,1,1000
"large_balanced","Lambda0.7","ess_1",5.24706532920054,3.04853970376652,5.04675516824862,0.5,0.34965034965035,0.000999000999000999,1,1,1000
"large_balanced","Lambda0.7","ess_2",11.1767465630314,6.02560895565517,10.1918880697499,0.5,0.0689310689310689,0.000999000999000999,1,1,1000
"large_balanced","Lambda0.7","K",0.775443199504414,0.950075710062194,0.853376868406906,0.5,0.296703296703297,0.238761238761239,1,1,1000
"large_balanced","Lambda0.7","Lambda",7.33137435857406e-05,0.899390240405706,0.855660412064477,0.5,0.036963036963037,0.655344655344655,1,1,1000
"large_balanced","Lambda0.7","max_offdiag_cor",0.768697493364182,0.888888888888889,0.88074443744654,0.5,0.000999000999000999,0.431568431568432,1,1,1000
"large_balanced","Lambda0.7","mean_offdiag_cor",0.164472488612587,0.306349322896526,0.173674414201938,0.5,0.34965034965035,0.000999000999000999,1,1,1000
"large_balanced","Lambda0.7","MoransI",-0.0202925011317798,0.0910823857542718,0.0294629845453269,0.5,0.420579420579421,0.041958041958042,1,1,1000
"large_balanced","Lambda0.7","mpnns",0.296972543131617,0.49876426561559,0.430339779516452,0.5,0.000999000999000999,0.0829170829170829,1,1,1000
"large_balanced","Lambda1","ess_1",6.28054427643325,3.06142226274449,5.59291722504023,0.5,0.0549450549450549,0.000999000999000999,1,1,1000
"large_balanced","Lambda1","ess_2",14.2347951909252,6.05953627049038,11.5918655983692,0.5,0.000999000999000999,0.000999000999000999,1,1,1000
"large_balanced","Lambda1","K",0.813823736576539,0.840646642779539,0.831092720771156,0.5,0.53046953046953,0.402597402597403,1,1,1000
"large_balanced","Lambda1","Lambda",0.999926686256414,0.942775118279256,0.900301350697778,1,1,0.723276723276723,1,1,1000
"large_balanced","Lambda1","max_offdiag_cor",0.693375245281536,0.888888888888889,0.890280364314235,0.5,0.000999000999000999,0.658341658341658,1,1,1000
"large_balanced","Lambda1","mean_offdiag_cor",0.13209999413008,0.304924452602804,0.15365051130044,0.5,0.0549450549450549,0.000999000999000999,1,1,1000
"large_balanced","Lambda1","MoransI",-0.0211506257154764,0.090580350837675,0.0258001362717879,0.5,0.460539460539461,0.022977022977023,1,1,1000
"large_balanced","Lambda1","mpnns",0.371127522816914,0.424667744891348,0.432710805831267,0.5,0.122877122877123,0.573426573426573,1,1,1000
"large_balanced","OU_alpha0.2","ess_1",21.4071386539136,6.67695353524333,15.5808561143754,0.5,0.000999000999000999,0.000999000999000999,1,1,1000
"large_balanced","OU_alpha0.2","ess_2",31.0161062287911,15.8531040444043,26.5651829252142,0.5,0.000999000999000999,0.000999000999000999,1,1,1000
"large_balanced","OU_alpha0.2","K",0.767927289040298,0.640882896288401,0.620159473193278,1,0.896103896103896,0.384615384615385,1,1,1000
"large_balanced","OU_alpha0.2","Lambda",7.33137435857406e-05,0.671934106832933,0.351076943812495,0.5,0.332667332667333,0.227772227772228,1,1,1000
"large_balanced","OU_alpha0.2","max_offdiag_cor",0.162856137680897,0.661058913872302,0.628754093574422,0.5,0.000999000999000999,0.608391608391608,1,1,1000
"large_balanced","OU_alpha0.2","mean_offdiag_cor",0.0159622082258059,0.122342092436814,0.0342355545559557,0.5,0.000999000999000999,0.000999000999000999,1,1,1000
"large_balanced","OU_alpha0.2","MoransI",-0.0239258379523103,0.0174112607715689,0.00183464395590314,1,0.665334665334665,0.493506493506494,1,1,1000
"large_balanced","OU_alpha0.2","mpnns",0.461891597480777,0.512450280450707,0.491166728152892,0.5,0.273726273726274,0.322677322677323,1,1,1000
"large_balanced","OU_alpha1","ess_1",31.9977626414101,28.0006374585684,31.3270688623272,0.5,0.000999000999000999,0.000999000999000999,1,1,1000
"large_balanced","OU_alpha1","ess_2",31.9999998231508,31.6348881307424,31.9436292064303,0.5,0.000999000999000999,0.000999000999000999,1,1,1000
"large_balanced","OU_alpha1","K",0.638485250788153,0.372392862818478,0.466356790786745,1,0.945054945054945,0.819180819180819,1,1,1000
"large_balanced","OU_alpha1","Lambda",7.33137435857406e-05,0.459240603192284,0.0786104712632572,0.5,0.754245754245754,0.0619380619380619,1,1,1000
"large_balanced","OU_alpha1","max_offdiag_cor",0.000123409803832629,0.135335270067786,0.11216605373055,0.5,0.000999000999000999,0.608391608391608,1,1,1000
