"Metric","Type","Variance","Rank","Dataset"
"cn_smape","Percentage Error",0.576307020150672,1,"simulation_data_UC1"
"mse","Error",3.0379746835443,2,"simulation_data_UC1"
"rmse","Error",3.0379746835443,3,"simulation_data_UC1"
"mae","Error",3.0379746835443,4,"simulation_data_UC1"
"whitened_rmse","Error",3.0379746835443,5,"simulation_data_UC1"
"whitened_mae","Error",3.0379746835443,6,"simulation_data_UC1"
"see","Error",3.0379746835443,7,"simulation_data_UC1"
"percent_see","Error",3.0379746835443,8,"simulation_data_UC1"
"mape","Percentage Error",3.0379746835443,9,"simulation_data_UC1"
"smape","Percentage Error",3.0379746835443,10,"simulation_data_UC1"
"median_ae","Error",3.99286987522282,11,"simulation_data_UC1"
"R_ari","Error",13.3409820183575,12,"simulation_data_UC1"
"R_median","Error",18.4155636535853,13,"simulation_data_UC1"
"whitened_r2","R-squared",19.7043814508908,14,"simulation_data_UC1"
"R_whole","Error",1070.00452307987,15,"simulation_data_UC1"
