"Metric","Type","Variance","Rank","Dataset"
"cn_smape","Percentage Error",0.49094654906594,1,"simulation_data_UC3"
"rmse","Error",2.69407069912481,2,"simulation_data_UC3"
"see","Error",2.71447700792038,3,"simulation_data_UC3"
"whitened_rmse","Error",2.80362948916292,4,"simulation_data_UC3"
"mape","Percentage Error",2.93198345500362,5,"simulation_data_UC3"
"mse","Error",2.9537542938988,6,"simulation_data_UC3"
"smape","Percentage Error",2.95704481555449,7,"simulation_data_UC3"
"mae","Error",2.96426869400824,8,"simulation_data_UC3"
"whitened_mae","Error",3.0706457946096,9,"simulation_data_UC3"
"median_ae","Error",3.76306620209059,10,"simulation_data_UC3"
"percent_see","Error",5.65415395411775,11,"simulation_data_UC3"
"whitened_r2","R-squared",20.1279253129323,12,"simulation_data_UC3"
"R_median","Error",21.6744073549626,13,"simulation_data_UC3"
"R_ari","Error",411.851918604749,14,"simulation_data_UC3"
"R_whole","Error",415.154434428493,15,"simulation_data_UC3"
