"Metric","Type","Variance","Rank","Dataset"
"pearson_corr","Correlation",0.0304804247129554,1,"simulation_data_UC1"
"spearman_corr","Correlation",0.0396310030511979,2,"simulation_data_UC1"
"ols_r2","R-squared",0.108117174981554,3,"simulation_data_UC1"
"adjusted_r2","R-squared",0.112465426591672,4,"simulation_data_UC1"
"median_ae","Error",0.313725490196078,5,"simulation_data_UC1"
"R_geo","Error",0.486403115923245,6,"simulation_data_UC1"
"cn_smape","Percentage Error",0.574810255085821,7,"simulation_data_UC1"
"R_median","Error",1.61781633184159,8,"simulation_data_UC1"
"mse","Error",3.01507537688442,9,"simulation_data_UC1"
"rmse","Error",3.01507537688442,10,"simulation_data_UC1"
"mae","Error",3.01507537688442,11,"simulation_data_UC1"
"see","Error",3.01507537688442,12,"simulation_data_UC1"
"percent_see","Error",3.01507537688442,13,"simulation_data_UC1"
"mape","Percentage Error",3.01507537688442,14,"simulation_data_UC1"
"smape","Percentage Error",3.01507537688442,15,"simulation_data_UC1"
"weighted_rmse","Error",3.02522714583016,16,"simulation_data_UC1"
"R_ari","Error",59.3257027236931,17,"simulation_data_UC1"
"R_whole","Error",101.058585916044,18,"simulation_data_UC1"
