"Figure_Set","Panel","Metric","Baseline_N","Baseline_Min","Baseline_Q025","Baseline_Q25","Baseline_Mean","Baseline_Median","Baseline_Q75","Baseline_Q975","Baseline_Max","Baseline_SD","Baseline_IQR","Dispersed_Observed","Dispersed_SES","Dispersed_P_value","Dispersed_Favorable_Direction","Dispersed_Range_Status","Dispersed_More_Extreme_Than_All_Random","Clustered_Observed","Clustered_SES","Clustered_P_value","Clustered_Favorable_Direction","Clustered_Range_Status","Clustered_More_Extreme_Than_All_Random"
"Figure2_distance","2a","MinPD",1000,0.11240117904,0.2195016698,1.2654020618,2.37677722582472,1.9774701789,3.5285651922,5.7460533029,8.89884323,1.50837787036944,2.2631631304,24.177519781,14.4531042144206,0.000999000999000999,"high","above_random_max",TRUE,0.715231599,-1.10154468549566,0.0979020979020979,"low","within_random_range",FALSE
"Figure2_distance","2b","MeanPD",1000,53.5843200694102,58.7915377675319,60.8111053596657,61.7229367556785,61.8591688884939,62.7343493314499,64.1216713285406,65.0391288457507,1.41331449771455,1.92324397178423,64.1132671015651,1.6912940111716,0.026973026973027,"high","within_random_range",FALSE,16.846916487843,-31.7523242989468,0.000999000999000999,"low","below_random_min",TRUE
"Figure2_distance","2c","MeanNND",1000,13.7568010805997,14.9590591343747,17.1116816375098,18.0983330605639,18.1476557631437,19.0810419761637,21.2703794384464,22.6583918364919,1.497563061341,1.96936033865391,29.8317048439981,7.83497676079662,0.000999000999000999,"high","above_random_max",TRUE,6.18370040614781,-7.95601398163968,0.000999000999000999,"low","below_random_min",TRUE
"Figure2_distance","2d","MaxPD",1000,77.56671653626,77.5667176205995,77.56671850075,77.5667193306586,77.5667188505,77.566719959,77.5667217162,77.5667217162,1.19847470356383e-06,1.45824996877764e-06,77.5667217162,1.99048121046195,0.027972027972028,"high","within_random_range",FALSE,20.252180866,-47822902.1390487,0.000999000999000999,"low","below_random_min",TRUE
"Figure3_dependence","3a","MeanOffCor",1000,0.161507252120766,0.17333523068938,0.191220768658889,0.204260026626276,0.202503703334668,0.216015475573687,0.242051999582543,0.309184117618639,0.0182206323508936,0.0247947069147987,0.173443594324483,-1.69129323880364,0.026973026973027,"low","within_random_range",FALSE,0.782807408701561,31.7523218148304,0.000999000999000999,"high","above_random_max",TRUE
"Figure3_dependence","3b","MaxOffCor",1000,0.885274982170532,0.925921151303081,0.954509285544033,0.969358285131237,0.974506203339522,0.983686275547239,0.997170156432302,0.99855090970876,0.0194461997678856,0.0291769900032062,0.688300334167884,-14.4531041703843,0.000999000999000999,"low","below_random_min",TRUE,0.99077914307287,1.10154468211356,0.0979020979020979,"high","within_random_range",FALSE
"Figure3_dependence","3c","MeanESS",1000,5.06587073222554,5.4330727033093,6.38261733457798,6.78575088201752,6.79465896068879,7.23688567247614,7.90473018070918,8.2811423206979,0.611876652858039,0.854268337898166,8.9135272166287,3.47745959038061,0.000999000999000999,"high","above_random_max",TRUE,1.29304586459605,-8.97681745457255,0.000999000999000999,"low","below_random_min",TRUE
