"Model","Metric","Mean_Dispersed","Mean_Clustered","Mean_Random","P_Dispersed_vs_Clustered","P_Dispersed_vs_Random","P_Random_vs_Clustered","N_Dispersed","N_Clustered","N_Random"
"Lambda1","K",0.214550183671326,0.193956356491764,0.237690018437849,0.5,0.42957042957043,0.485514485514486,1,1,1000
"Lambda1","Lambda",0.987986260032062,0.999926686256414,0.977164148616403,1,0.392607392607393,0.998001998001998,1,1,1000
"Lambda1","MoransI",0.38299378756795,0.00603862526804694,0.438741738176405,0.5,0.767232767232767,0.000999000999000999,1,1,1000
"Lambda1","mpnns",0.433414773143711,0.541186729081708,0.449561340467271,1,0.627372627372627,0.974025974025974,1,1,1000
"Lambda1","mean_offdiag_cor",0.618725796786294,0.584942510174322,0.613424146612399,0.5,0.462537462537463,0.238761238761239,1,1,1000
"Lambda1","max_offdiag_cor",0.98057561606686,0.957180536215015,0.992375919313062,0.5,1,0.000999000999000999,1,1,1000
"Lambda1","ess_1",1.58568917891588,1.67248396525529,1.60516336864854,0.5,0.462537462537463,0.238761238761239,1,1,1000
"Lambda1","ess_2",2.12278119894236,2.33292633156114,2.13953369170698,0.5,0.502497502497502,0.160839160839161,1,1,1000
"Lambda0.7","K",5.27201127955885,0.949862890315604,3.66374637979962,0.5,0.0649350649350649,0.000999000999000999,1,1,1000
"Lambda0.7","Lambda",0.987831851494478,0.999926686256414,0.993545564071303,1,0.811188811188811,0.996003996003996,1,1,1000
"Lambda0.7","MoransI",0.55334787821946,0.278271704349704,0.594031141719142,0.5,0.734265734265734,0.000999000999000999,1,1,1000
"Lambda0.7","mpnns",0.358461914692024,0.502575442031172,0.439406098705211,1,0.959040959040959,0.892107892107892,1,1,1000
"Lambda0.7","mean_offdiag_cor",0.612013283332909,0.583453942684472,0.608302502734922,0.5,0.460539460539461,0.240759240759241,1,1,1000
"Lambda0.7","max_offdiag_cor",0.978370933520758,0.959546986304421,0.986208416108235,0.5,0.993006993006993,0.000999000999000999,1,1,1000
"Lambda0.7","ess_1",1.60221010597852,1.67652742263286,1.61628055035471,0.5,0.460539460539461,0.240759240759241,1,1,1000
"Lambda0.7","ess_2",2.16078158993042,2.34176625796156,2.17385514765375,0.5,0.496503496503497,0.163836163836164,1,1,1000
"Lambda0.5","K",0.509118620194464,2.87953046052857,0.687766919788889,1,0.827172827172827,1,1,1,1000
"Lambda0.5","Lambda",0.967479154710107,0.999926686256414,0.990402973894223,1,0.927072927072927,1,1,1,1000
"Lambda0.5","MoransI",0.460239855413818,0.280638746917999,0.550326385095491,0.5,0.948051948051948,0.000999000999000999,1,1,1000
"Lambda0.5","mpnns",0.419576327429429,0.563871732067042,0.479535723132826,1,0.899100899100899,0.949050949050949,1,1,1000
"Lambda0.5","mean_offdiag_cor",0.608678869997296,0.582801926499702,0.60567305207075,0.5,0.462537462537463,0.23976023976024,1,1,1000
"Lambda0.5","max_offdiag_cor",0.977416525962706,0.96061203804043,0.983422782695521,0.5,0.972027972027972,0.000999000999000999,1,1,1000
"Lambda0.5","ess_1",1.61054545140199,1.67830468506211,1.62216286236175,0.5,0.462537462537463,0.23976023976024,1,1,1000
"Lambda0.5","ess_2",2.18013913579192,2.34565960502696,2.19125343206666,0.5,0.491508491508492,0.166833166833167,1,1,1000
"OU_alpha0.2","K",0.0388438119067392,0.264059604548441,0.0814963096582508,1,0.892107892107892,0.995004995004995,1,1,1000
"OU_alpha0.2","Lambda",0.350986006962199,0.737358595358149,0.790811539025261,1,0.884115884115884,0.273726273726274,1,1,1000
"OU_alpha0.2","MoransI",-0.0729048702424601,0.10197968783703,0.0669141995855274,1,0.457542457542458,0.704295704295704,1,1,1000
"OU_alpha0.2","mpnns",0.452253987578051,0.50749693157753,0.500714589121889,1,0.851148851148851,0.562437562437562,1,1,1000
"OU_alpha0.2","mean_offdiag_cor",0.0105852127233975,0.153415336412507,0.0230279876774016,1,1,1,1,1,1000
"OU_alpha0.2","max_offdiag_cor",0.165683951102981,0.665499981883202,0.591022461150723,1,1,0.966033966033966,1,1,1000
"OU_alpha0.2","ess_1",24.0938166038284,5.55953658064829,18.7381109968907,1,1,1,1,1,1000
"OU_alpha0.2","ess_2",30.7570139996868,12.4421106830456,26.2689435399467,1,1,1,1,1,1000
"OU_alpha1","K",0.157934884563058,0.0927641272636706,0.0665751837712881,0.5,0.0839160839160839,0.79020979020979,1,1,1000
"OU_alpha1","Lambda",0.983421330165793,0.896655659519871,0.67532014296879,0.5,0.11988011988012,0.567432567432567,1,1,1000
"OU_alpha1","MoransI",-0.0329464624233756,-0.0565302345066073,-0.0336043551261842,1,0.68031968031968,0.538461538461538,1,1,1000
"OU_alpha1","mpnns",0.577258587328759,0.546891855303833,0.612331423304989,0.5,0.771228771228771,0.0619380619380619,1,1,1000
"OU_alpha1","mean_offdiag_cor",4.35565911068652e-06,0.00553873771167537,0.000670615849367278,1,1,1,1,1,1000
"OU_alpha1","max_offdiag_cor",0.000127284554866999,0.131554171059749,0.0755737230399395,1,1,0.966033966033966,1,1,1000
"OU_alpha1","ess_1",31.9956797695032,27.3107248146186,31.3498015892179,1,1,1,1,1,1000
"OU_alpha1","ess_2",31.9999996180561,31.7312063683287,31.9688630576936,1,1,1,1,1,1000
"OU_alpha5","K",0.0437334908013191,0.133965824226483,0.0416434511989806,1,0.287712287712288,0.986013986013986,1,1,1000
"OU_alpha5","Lambda",0.983763648659493,7.33137435857406e-05,0.530621566323331,0.5,0.048951048951049,0.154845154845155,1,1,1000
"OU_alpha5","MoransI",-0.10078791487008,0.00838376296660381,-0.0323557411659406,0.5,0.157842157842158,0.0809190809190809,1,1,1000
"OU_alpha5","mpnns",0.756246512421676,0.796971056448807,0.75773968015086,1,0.507492507492508,0.886113886113886,1,1,1000
"OU_alpha5","mean_offdiag_cor",3.69757099708232e-22,1.56153382401559e-07,1.66557536872457e-08,1,1,0.99000999000999,1,1,1000
"OU_alpha5","max_offdiag_cor",3.34101863100358e-20,3.94024395984555e-05,6.31136388303023e-06,1,1,0.984015984015984,1,1,1000
"OU_alpha5","ess_1",32,31.9998450965945,31.9999834775274,1,1,0.99000999000999,1,1,1000
"OU_alpha5","ess_2",32,31.9999999966202,31.9999999996064,1,1,0.981018981018981,1,1,1000
