"Analysis","Pool","N","s","Subset_Type","Metric","Observed","Baseline_Mean","Baseline_SD","Baseline_Q025","Baseline_Q975","SES","P_value","Tail","Covariance_Model","Covariance_Param"
"Cricetidae_C32","Cricetidae_C32",32,8,"dispersed","MinPD",41.8305785232,19.8520882512808,7.57198219058059,7.0821346054,36.773273812695,2.90260723265567,0.000999000999000999,"upper",NA,NA
"Cricetidae_C32","Cricetidae_C32",32,8,"dispersed","MeanPD",71.33074313719,63.2711593324205,4.49662249296929,51.7248694643754,69.7676585788314,1.79236389476126,0.002997002997003,"upper",NA,NA
"Cricetidae_C32","Cricetidae_C32",32,8,"dispersed","MeanNND",54.36088994364,36.8493278017003,6.24600022161854,25.5357612407713,49.5913772837355,2.80364417556839,0.000999000999000999,"upper",NA,NA
"Cricetidae_C32","Cricetidae_C32",32,8,"dispersed","MaxPD",77.5667193762,77.369027480419,1.22487887887419,76.02500308416,77.5667193762,0.161397097452368,0.0639360639360639,"upper",NA,NA
"Cricetidae_C32","Cricetidae_C32",32,8,"clustered","MinPD",7.0821346054,19.8520882512808,7.57198219058059,7.0821346054,36.773273812695,-1.6864743371645,0.0769230769230769,"lower",NA,NA
"Cricetidae_C32","Cricetidae_C32",32,8,"clustered","MeanPD",22.7359208368293,63.2711593324205,4.49662249296929,51.7248694643754,69.7676585788314,-9.01459674655149,0.000999000999000999,"lower",NA,NA
"Cricetidae_C32","Cricetidae_C32",32,8,"clustered","MeanNND",17.589061891895,36.8493278017003,6.24600022161854,25.5357612407713,49.5913772837355,-3.08361595043529,0.000999000999000999,"lower",NA,NA
"Cricetidae_C32","Cricetidae_C32",32,8,"clustered","MaxPD",33.50320360756,77.369027480419,1.22487887887419,76.02500308416,77.5667193762,-35.8123767414267,0.000999000999000999,"lower",NA,NA
"Cricetidae_C32","Cricetidae_C32",32,16,"dispersed","MinPD",30.4484775879,12.0959386995517,4.11367764507029,7.0821346054,20.7602768449,4.46134589819926,0.000999000999000999,"upper",NA,NA
"Cricetidae_C32","Cricetidae_C32",32,16,"dispersed","MeanPD",64.8572829946592,63.3698163670656,2.16975052327138,58.2481879361597,66.6860271211338,0.685547306770954,0.253746253746254,"upper",NA,NA
"Cricetidae_C32","Cricetidae_C32",32,16,"dispersed","MeanNND",40.674571133295,29.7891927051941,3.03607172522607,24.0902540644155,35.4946856712531,3.58534956129548,0.000999000999000999,"upper",NA,NA
"Cricetidae_C32","Cricetidae_C32",32,16,"dispersed","MaxPD",77.5667193762,77.5605516306774,0.0973600009720676,77.56671621476,77.5667193762,0.0633498917523485,0.252747252747253,"upper",NA,NA
"Cricetidae_C32","Cricetidae_C32",32,16,"clustered","MinPD",10.3993909661,12.0959386995517,4.11367764507029,7.0821346054,20.7602768449,-0.412416304783811,0.431568431568432,"lower",NA,NA
"Cricetidae_C32","Cricetidae_C32",32,16,"clustered","MeanPD",40.089327955145,63.3698163670656,2.16975052327138,58.2481879361597,66.6860271211338,-10.729569211865,0.000999000999000999,"lower",NA,NA
"Cricetidae_C32","Cricetidae_C32",32,16,"clustered","MeanNND",26.0280722511175,29.7891927051941,3.03607172522607,24.0902540644155,35.4946856712531,-1.23881146246521,0.112887112887113,"lower",NA,NA
"Cricetidae_C32","Cricetidae_C32",32,16,"clustered","MaxPD",51.953191381,77.5605516306774,0.0973600009720676,77.56671621476,77.5667193762,-263.017255484869,0.000999000999000999,"lower",NA,NA
"Cricetidae_C64","Cricetidae_C64",64,8,"dispersed","MinPD",47.618125162,18.4611234299298,8.33214178880346,4.0368713787,33.5032019982975,3.49934056226103,0.000999000999000999,"upper",NA,NA
"Cricetidae_C64","Cricetidae_C64",64,8,"dispersed","MeanPD",72.5587315687936,61.4414301560483,5.42022382805647,47.6793955780398,69.5928426606312,2.05107791954997,0.000999000999000999,"upper",NA,NA
"Cricetidae_C64","Cricetidae_C64",64,8,"dispersed","MeanNND",54.461993317995,35.1532086117254,6.34722520034756,22.5309079235579,48.110521487642,3.04208281521386,0.001998001998002,"upper",NA,NA
"Cricetidae_C64","Cricetidae_C64",64,8,"dispersed","MaxPD",77.5667193762,76.9844262436763,2.91815079038474,76.0250022658075,77.5667190812,0.199541824378083,0.011988011988012,"upper",NA,NA
"Cricetidae_C64","Cricetidae_C64",64,8,"clustered","MinPD",3.103427064,18.4611234299298,8.33214178880346,4.0368713787,33.5032019982975,-1.84318711265417,0.020979020979021,"lower",NA,NA
"Cricetidae_C64","Cricetidae_C64",64,8,"clustered","MeanPD",13.1640647122643,61.4414301560483,5.42022382805647,47.6793955780398,69.5928426606312,-8.90689517172483,0.000999000999000999,"lower",NA,NA
"Cricetidae_C64","Cricetidae_C64",64,8,"clustered","MeanNND",7.79002856085,35.1532086117254,6.34722520034756,22.5309079235579,48.110521487642,-4.3110460377831,0.000999000999000999,"lower",NA,NA
"Cricetidae_C64","Cricetidae_C64",64,8,"clustered","MaxPD",17.0487069533,76.9844262436763,2.91815079038474,76.0250022658075,77.5667190812,-20.5389383879214,0.000999000999000999,"lower",NA,NA
"Cricetidae_C64","Cricetidae_C64",64,16,"dispersed","MinPD",33.50320360756,9.27105392309984,5.28730587143499,1.5347610462,20.7602771667875,4.5830807359521,0.000999000999000999,"upper",NA,NA
"Cricetidae_C64","Cricetidae_C64",64,16,"dispersed","MeanPD",68.3854956656,61.4606794964757,3.08464932712004,54.3662311416754,66.4067790211132,2.24492817003274,0.000999000999000999,"upper",NA,NA
"Cricetidae_C64","Cricetidae_C64",64,16,"dispersed","MeanNND",41.5022264518637,28.3031236066337,3.54667569323946,21.2945078561724,34.7874478856648,3.72154208246041,0.000999000999000999,"upper",NA,NA
"Cricetidae_C64","Cricetidae_C64",64,16,"dispersed","MaxPD",77.5667193762,77.4942572669722,0.326449682846244,76.025004658774,77.5667193762,0.221970224005221,0.0539460539460539,"upper",NA,NA
"Cricetidae_C64","Cricetidae_C64",64,16,"clustered","MinPD",3.103427064,9.27105392309984,5.28730587143499,1.5347610462,20.7602771667875,-1.16649707981164,0.123876123876124,"lower",NA,NA
