"Metric","Type","Variance","Rank","Dataset"
"pic_spearman","Correlation",0.00200783887897387,1,"simulation_data_UC1"
"pic_pearson","Correlation",0.00304415398220107,2,"simulation_data_UC1"
"cn_smape","Percentage Error",0.00979011300115814,3,"simulation_data_UC1"
"pic_r2","R-squared",0.0116848473543603,4,"simulation_data_UC1"
"R_geo","Error",0.0193400687351158,5,"simulation_data_UC1"
"pearson_corr","Correlation",0.0656680375421726,6,"simulation_data_UC1"
"ols_r2","R-squared",0.147281603247938,7,"simulation_data_UC1"
"rmse","Error",0.155527825851307,8,"simulation_data_UC1"
"see","Error",0.158515303434864,9,"simulation_data_UC1"
"spearman_corr","Correlation",0.171655408689899,10,"simulation_data_UC1"
"pic_rmse","Error",0.179764036131059,11,"simulation_data_UC1"
"whitened_rmse","Error",0.18178259223021,12,"simulation_data_UC1"
"adjusted_r2","R-squared",0.23875833451079,13,"simulation_data_UC1"
"whitened_mae","Error",0.245497947504655,14,"simulation_data_UC1"
"pic_mae","Error",0.260876329333682,15,"simulation_data_UC1"
"mse","Error",0.289646937979236,16,"simulation_data_UC1"
"mae","Error",0.289646937979236,17,"simulation_data_UC1"
"smape","Percentage Error",0.296780381212245,18,"simulation_data_UC1"
"mape","Percentage Error",0.517768548978015,19,"simulation_data_UC1"
"median_ae","Error",2.6811720707103,20,"simulation_data_UC1"
"R_median","Error",7.48403496149608,21,"simulation_data_UC1"
"whitened_r2","R-squared",41.7484888359604,22,"simulation_data_UC1"
"R_ari","Error",578.71954558552,23,"simulation_data_UC1"
"percent_see","Error",2883.43503328018,24,"simulation_data_UC1"
"R_whole","Error",3549.58132491161,25,"simulation_data_UC1"
