"Metric","Type","Variance","Rank","Dataset"
"R_median","Error",0,1,"simulation_data_UC1"
"weighted_rmse","Error",4.1622451593096e-33,2,"simulation_data_UC1"
"cn_smape","Percentage Error",0.000933475990654085,3,"simulation_data_UC1"
"R_ari","Error",0.00154713896849206,4,"simulation_data_UC1"
"see","Error",0.00302217590178853,5,"simulation_data_UC1"
"rmse","Error",0.00348883027273766,6,"simulation_data_UC1"
"R_geo","Error",0.0134692192259628,7,"simulation_data_UC1"
"mse","Error",0.0139151989397007,8,"simulation_data_UC1"
"mae","Error",0.0139151989397007,9,"simulation_data_UC1"
"smape","Percentage Error",0.0552848893453144,10,"simulation_data_UC1"
"percent_see","Error",0.0703149451696063,11,"simulation_data_UC1"
"R_whole","Error",0.09197493573508,12,"simulation_data_UC1"
"spearman_corr","Correlation",0.135620812965528,13,"simulation_data_UC1"
"pearson_corr","Correlation",0.269282670664049,14,"simulation_data_UC1"
"mape","Percentage Error",0.392820026072835,15,"simulation_data_UC1"
"ols_r2","R-squared",0.604827212385153,16,"simulation_data_UC1"
"adjusted_r2","R-squared",0.817781816306871,17,"simulation_data_UC1"
