"Metric","Type","Variance","Rank","Dataset"
"median_ae","Error",0,1,"simulation_data_UC1"
"cn_smape","Percentage Error",0.0144681782780805,2,"simulation_data_UC1"
"pearson_corr","Correlation",0.0269348448414628,3,"simulation_data_UC1"
"R_geo","Error",0.0340354673976868,4,"simulation_data_UC1"
"spearman_corr","Correlation",0.0491144492266463,5,"simulation_data_UC1"
"rmse","Error",0.0750708479788397,6,"simulation_data_UC1"
"see","Error",0.0761642610417168,7,"simulation_data_UC1"
"ols_r2","R-squared",0.0981218502636287,8,"simulation_data_UC1"
"adjusted_r2","R-squared",0.121871004832046,9,"simulation_data_UC1"
"mse","Error",0.210236161580747,10,"simulation_data_UC1"
"mae","Error",0.210236161580747,11,"simulation_data_UC1"
"smape","Percentage Error",0.226084332975304,12,"simulation_data_UC1"
"mape","Percentage Error",0.813631575733537,13,"simulation_data_UC1"
"R_ari","Error",1206.34168975737,14,"simulation_data_UC1"
"percent_see","Error",2675.79209340752,15,"simulation_data_UC1"
"R_whole","Error",21687.1152666718,16,"simulation_data_UC1"
