"Metric","Type","Variance","Rank","Dataset"
"smape","Percentage Error",0.0170858468279249,1,"simulation_data_UC4"
"rmse","Error",0.0174397458909472,2,"simulation_data_UC4"
"see","Error",0.0174501359186367,3,"simulation_data_UC4"
"mae","Error",0.0215594181167102,4,"simulation_data_UC4"
"cn_smape","Percentage Error",0.0538414511055324,5,"simulation_data_UC4"
"median_ae","Error",0.0605125275490231,6,"simulation_data_UC4"
"pic_mae","Error",0.0607199560343431,7,"simulation_data_UC4"
"mse","Error",0.0671658255634469,8,"simulation_data_UC4"
"whitened_mae","Error",0.0872825205613385,9,"simulation_data_UC4"
"R_geo","Error",0.0878132665277186,10,"simulation_data_UC4"
"whitened_rmse","Error",0.152731457202724,11,"simulation_data_UC4"
"pic_rmse","Error",0.167004022632545,12,"simulation_data_UC4"
"mape","Percentage Error",0.308451659422099,13,"simulation_data_UC4"
"whitened_r2","R-squared",0.949670540856794,14,"simulation_data_UC4"
"ols_r2","R-squared",1.73375916728414,15,"simulation_data_UC4"
"pic_r2","R-squared",1.81766815936847,16,"simulation_data_UC4"
"R_median","Error",43.8565535142015,17,"simulation_data_UC4"
"percent_see","Error",167.632761147563,18,"simulation_data_UC4"
"R_whole","Error",269.359626745573,19,"simulation_data_UC4"
"spearman_corr","Correlation",459.324739601611,20,"simulation_data_UC4"
"R_ari","Error",752.363940835796,21,"simulation_data_UC4"
"pic_pearson","Correlation",1191.13318588003,22,"simulation_data_UC4"
"pearson_corr","Correlation",4445.22607769611,23,"simulation_data_UC4"
"pic_spearman","Correlation",12976.4442035984,24,"simulation_data_UC4"
"adjusted_r2","R-squared",285014.876692497,25,"simulation_data_UC4"
