"species","predicted_OGT","OGT"
"Sulfolobus_acidocaldarius",70.329185,72.375
"Sulfolobus_solfataricus",74.31934,76.875
"Sulfolobus_tokodaii",75.52839,78.33333333
"Thermococcus_barophilus",83.73047,85
"Thermococcus_celericrescens",79.61353,80
"Thermococcus_chitonophagus",88.65939,85
"Thermococcus_gammatolerans",83.784676,88
"Thermococcus_guaymasensis",83.798294,88
"Thermococcus_kodakarensis",81.75813,75
"Thermococcus_litoralis",82.7143,83.66666667
"Thermococcus_peptonophilus",82.6075,81.25
"Thermococcus_sibiricus",80.59218,78
"Thermococcus_thioreducens",81.406944,84
"Thermofilum_pendens",85.63766,88
"Thermoplasma_acidophilum",55.151855,57.33333333
"Thermoplasma_volcanium",54.88369,59.58333333
"Thermoproteus_tenax",85.11842,85.75
"Thermoproteus_uzoniensis",87.420105,85
"Thermosphaera_aggregans",82.728325,85
"Vulcanisaeta_distributa",87.8287,90
