Species,Actual OGT (°„C),Predicted OGT (°„C)
Flavobacterium_psychrophilum_strain_FPSF30,17.5,17.51 
Flavobacterium_psychrophilum_strain_FPSR7,17.5,18.28 
Flavobacterium_psychrophilum_strain_FPSS6,17.5,17.62 
Flavobacterium_psychrophilum_strain_PG2,17.5,17.51 
Flavobacterium_psychrophilum_strain_phage_resistant_V424,17.5,17.79 
Flavobacterium_weaverense_DSM_19727,15,15.32 
Flavobacterium_xanthum_DSM_3661,10,15.06 
Flexistipes_sinusarabici_DSM_4947_strain_DSM_4947,47.5,53.72 
Fonticella_tunisiensis_DSM_24455,55,55.98 
Francisella_halioticida_strain_DSM_23729,20,26.59 
Francisella_philomiragia_strain_O319029,22,22.78 
Francisella_philomiragia_subsp_philomiragia_ATCC_25017_strain_ATCC_25017,22,22.79 
Fusobacterium_pseudoperiodonticum_strain_KCOM_1261,36,34.49 
Garciella_nitratireducens_GHB3,55,57.51 
Gelidibacter_gilvus_IC158,13.5,20.45 
Gelidibacter_salicanalis_IC162,11.5,20.56 
Geobacillus_stearothermophilus_strain_DSM_458,55,57.89 
Geobacillus_subterraneus_strain_E551,60,59.33 
Geobacillus_thermodenitrificans_KCTC3902,60,57.25 
Geobacillus_thermodenitrificans_strain_KCTC3902,57.5,57.37 
Geobacillus_thermoleovorans_strain_FJAT2391,60,58.28 
Gilvimarinus_japonicus_KCTC_52141,10,22.67 
Glaciecola_nitratireducens_FR1064_strain_FR1064,25,18.10 
Glaciihabitans_tibetensis_CGMCC_1.12484,17.5,20.40 
Gordonia_iterans_strain_Co17,30,27.99 
Halobacillus_litoralis_strain_ERB_031,35,25.83 
Halomonas_campaniensis_strain_LS21,37,30.72 
Halomonas_huangheensis_strain_BJGMMB45,30,27.57 
Hungateiclostridium_thermocellum_DSM_1313_strain_DSM_1313,55,55.53 
Hydrogenibacillus_schlegelii_DSM_2000,55,61.15 
Hydrogenobacter_thermophilus_TK6_strain_TK6,72.5,73.66 
Hymenobacter_algoricola_JCM_17214,18,17.21 
Hymenobacter_frigidus_CGMCC_1.14966,12.5,17.68 
Hymenobacter_glaciei_JCM_17225,18,18.84 
Hymenobacter_psychrophilus_CGMCC_1.8975,5.5,17.17 
Iodobacter_ciconiae_H11R3,15,22.92 
Janibacter_indicus_strain_YFY001,29,26.98 
Janibacter_melonis_strain_M714,30,26.89 
Jeotgalibaca_arthritidis_CECT_9157,15,22.47 
Kangiella_profundi_strain_FT102,39.5,26.02 
Kangiella_sediminilitoris_strain_KCTC_23892,33.5,29.51 
Kocuria_rhizophila_strain_28R2A20,28,27.05 
Koleobacter_methoxysyntrophicus_NRmbB1,55,58.72 
Kosmotoga_pacifica_strain_SLHLJ1,70,67.27 
Laceyella_tengchongensis_BKK01,55,50.10 
Leucobacter_denitrificans_strain_KACC_14055,30,24.69 
Levilactobacillus_namurensis_NBRC_107158,15,24.98 
Lihuaxuella_thermophila_DSM_46701,50,50.20 
Limisphaera_ngatamarikiensis_NGM72.4,60,48.78 
Lysobacter_caseinilyticus_strain_JCM32879,27.5,29.36 
Lysobacter_soli_strain_XL170,30,28.82 
Marinifilum_breve_JC075,16,24.94 
Marinobacter_psychrophilus_20041,17,18.29 
Marinomonas_arctica_strain_BSI20414,26,24.22 
Marinomonas_primoryensis_strain_AceL,20,22.53 
Massilia_armeniaca_strain_ZMN3,30,25.41 
Massilia_brevitalea_CGMCC_1.10731,15,24.91 
Massilia_eurypsychrophila_JCM_30074,10,23.05 
Massilia_lutea_strain_DSM_17473,29,25.74 
Massilia_psychrophila_JCM_30813,15,17.35 
Meiothermus_ruber_DSM_1279_strain_DSM_1279,62.5,54.00 
Mesoplasma_syrphidae_strain_YJS,23,31.32 
Mesorhizobium_erdmanii_strain_NZP2014,28,25.05 
Mesorhizobium_wenxiniae_WYCCWR_10195,10,23.51 
Methylobacterium_brachiatum_strain_TX0642,30,25.09 
Methylobacterium_oryzae_CBMB20_strain_CBMB20,28,26.68 
Methylocystis_heyeri_strain_H2,25,29.34 
Microbacterium_lemovicicum_strain_Viu22,30,23.46 
Microbacterium_maritypicum_na,18,29.79 
Microbacterium_paraoxydans_strain_70447,27.5,25.11 
Microbacterium_sediminis_strain_YLB01,28,25.04 
Microbulbifer_hydrolyticus_strain_IRE31,37,23.64 
Microterricola_viridarii_strain_ERGS53A02,22.5,22.63 
Moorella_thermoacetica_strain_DSM_103132,57,57.50 
Moritella_marina_na,15,19.41 
Mucilaginibacter_pineti_47C3B,15,23.68 
Mycobacterium_haemophilum_DSM_44634_strain_ATCC_29548,31,32.36 
Mycobacterium_heidelbergense_strain_JCM_14842,34,31.94 
Mycobacterium_kubicae_strain_JCM_13573,35,30.68 
Mycobacterium_saskatchewanense_strain_JCM_13016,37,35.40 
Mycobacterium_stomatepiae_strain_JCM_17783,30,34.01 
Mycolicibacterium_arabiense_strain_JCM_18538,32.5,27.82 
Mycolicibacterium_mageritense_strain_JCM_12375,33.5,26.93 
Mycoplasmopsis_ciconiae_DSM_25251,10,31.47 
Nakamurella_panacisegetis_strain_P47KCTC_19426CECT_7604,25,24.84 
Niabella_soli_DSM_19437_strain_DSM_19437,30,24.90 
Nitrospira_moscoviensis_strain_NSP_M1,39,32.24 
Nocardioides_aquaticus_strain_KCTC_9944,21,23.50 
Nocardioides_daphniae_strain_JCM_16608,28,36.49 
Nonlabens_antarcticus_JCM_14068,19,16.69 
Nonlabens_spongiae_strain_JCM_13191,29,17.92 
Nonlabens_tegetincola_strain_NBRC_100970,32,19.58 
Nonomuraea_salmonea_JCM_3324,50,33.83 
Oceanobacillus_kimchii_X50_strain_X50,37,28.11 
Octadecabacter_temperatus_strain_SB1,20,20.45 
Paenibacillus_baekrokdamisoli_strain_KCTC_33723,25,24.72 
Paenibacillus_beijingensis_strain_DSM_24997,30,27.77 
Paenibacillus_ihbetae_strain_IHBB_9852,28,30.61 
Paenibacillus_sophorae_strain_DSM_23020,30,26.73 
Pandoraea_thiooxydans_strain_ATSB16,30,27.61 
Paraburkholderia_piptadeniae_STM7183,15,27.04 
Paracoccus_kondratievae_strain_BJQ0001,40,25.37 
Parageobacillus_thermoglucosidasius_strain_DSM_2542,60,59.68 
Parageobacillus_toebii_NBRC_107807_strain_DSM_14590,55,54.16 
Pedobacter_ginsengisoli_strain_T01R27,25,22.14 
Pedobacter_roseus_strain_KACC_11594,27.5,21.90 
Persephonella_hydrogeniphila_DSM_15103,70,68.90 
Phaeobacter_inhibens_210_strain_21,28,22.63 
Photobacterium_ganghwense_strain_C22,35,22.84 
Phreatobacter_stygius_strain_KCTC_52518,30,27.99 
Polaribacter_glomeratus_ATCC_43844,15,14.73 
Polaribacter_reichenbachii_strain_6Alg_8T,27,22.79 
Polaribacter_sejongensis_strain_KCTC_23670,25,21.43 
Polaromonas_eurypsychrophila_CGMCC_1.15322,15,23.19 
Polaromonas_hydrogenivorans_DSM_17735,17.5,23.34 
Pontibacter_korlensis_strain_X141T,33.5,24.05 
Pricia_antarctica_DSM_23421,18,17.24 
Proteus_alimentorum_08MAS0041,10,26.50 
Pseudoalteromonas_aliena_strain_EH1,23.5,23.26 
Pseudoalteromonas_arctica_A_3712_strain_A_3712,12.5,24.54 
Pseudoalteromonas_arctica_MelAa3,12.5,25.23 
Pseudoalteromonas_espejiana_DSM_9414_strain_DSM_9414,30,25.96 
Pseudoalteromonas_luteoviolacea_DSM_6061_strain_CH130,25,25.01 
Pseudoalteromonas_tetraodonis_strain_GFC,30,26.69 
Pseudoalteromonas_xiamenensis_strain_STKMTI2,25,26.32 
Pseudomonas_guineae_NPDC076828,13,27.26 
Pseudomonas_kribbensis_strain_462,30,29.20 
Pseudomonas_lactis_strain_SS101,29,28.83 
Pseudomonas_marincola_strain_YSy11,26.5,27.51 
Pseudomonas_mosselii_strain_BS011,30,29.68 
Pseudomonas_mucidolens_strain_LMG_2223,24,28.38 
Pseudomonas_pohangensis_strain_DSM_17875,27.5,26.69 
Pseudomonas_psychrophila_strain_KM02,25,27.29 
Pseudomonas_zhaodongensis_strain_A252,28,28.14 
Pseudonocardia_nigra_DSM_104088,10,27.35 
Pseudothermotoga_lettingae_na,65,65.51 
Pseudoxanthomonas_mexicana_strain_GTZY2,33.5,28.27 
Pseudoxanthomonas_suwonensis_111_strain_1Nov,30,31.70 
Psychrobacter_frigidicola_ACAM_304,10,20.56 
Psychrobacter_glacincola_CCUG_34874,14,21.00 
Psychroserpens_jangbogonensis_PAMC_27130,15,20.99 
Renibacterium_salmoninarum_strain_H2,15,17.15 
Rhodoluna_limnophila_strain_1BMac,22,24.16 
Rhodothermus_marinus_strain_AA213,65,65.10 
Romboutsia_ilealis_strain_CRIB,37,37.66 
Roseiflexus_castenholzii_na,50,48.32 
Roseobacter_denitrificans_strain_FDAARGOS_309,20,22.52 
Roseovarius_marisflavi_DSM_29327,15,20.63 
Rothia_terrae_strain_KJZ14,35,24.52 
Saccharicrinis_aurantiacus_HQYD1,10,24.85 
Saccharococcus_thermophilus_DSM_4749,50,53.14 
Saccharomonospora_glauca_K62_strain_K62,50,32.83 
Salinicola_halophilus_CECT_5903,15,19.99 
Salinicola_salarius_1A01339,10,27.41 
Scopulibacillus_daqui_DSM_28236,50,37.41 
Serinicoccus_profundi_strain_CGMCC_45582,30,27.83 
Serratia_symbiotica_strain_241,25,26.29 
Serratia_ureilytica_strain_CC119,28,30.37 
Shewanella_benthica_strain_DB21MT2,5,16.60 
Shewanella_donghaensis_strain_LT17,17,17.25 
