"species","predicted_OGT","OGT"
"Sulfolobus_acidocaldarius",73.63034,72.375
"Sulfolobus_solfataricus",75.921974,76.875
"Sulfolobus_tokodaii",77.58835,78.33333333
"Thermococcus_barophilus",87.627235,85
"Thermococcus_celericrescens",83.35506,80
"Thermococcus_chitonophagus",91.75343,85
"Thermococcus_gammatolerans",86.682014,88
"Thermococcus_guaymasensis",86.682014,88
"Thermococcus_kodakarensis",85.42084,75
"Thermococcus_litoralis",86.57526,83.66666667
"Thermococcus_peptonophilus",86.71695,81.25
"Thermococcus_sibiricus",84.24991,78
"Thermococcus_thioreducens",85.11406,84
"Thermofilum_pendens",86.876755,88
"Thermoplasma_acidophilum",59.138256,57.33333333
"Thermoplasma_volcanium",58.666645,59.58333333
"Thermoproteus_tenax",89.591675,85.75
"Thermoproteus_uzoniensis",89.50419,85
"Thermosphaera_aggregans",81.94095,85
"Vulcanisaeta_distributa",90.80035,90
