"Tree","Subset_Size","Tip_Index","Tip_Name","MinPD","MeanPD","MeanNND"
"large_ladder",32,256,"LL256",8.31278619316109,92.963423127204,9.47392257819618
"large_ladder",32,248,"LL248",8.31278619316109,92.963423127204,9.47392257819618
"large_ladder",32,27,"LL027",8.31278619316109,92.963423127204,9.47392257819618
"large_ladder",32,35,"LL035",8.31278619316109,92.963423127204,9.47392257819618
"large_ladder",32,42,"LL042",8.31278619316109,92.963423127204,9.47392257819618
"large_ladder",32,1,"LL001",8.31278619316109,92.963423127204,9.47392257819618
"large_ladder",32,9,"LL009",8.31278619316109,92.963423127204,9.47392257819618
"large_ladder",32,15,"LL015",8.31278619316109,92.963423127204,9.47392257819618
"large_ladder",32,21,"LL021",8.31278619316109,92.963423127204,9.47392257819618
"large_ladder",32,48,"LL048",8.31278619316109,92.963423127204,9.47392257819618
"large_ladder",32,109,"LL109",8.31278619316109,92.963423127204,9.47392257819618
"large_ladder",32,147,"LL147",8.31278619316109,92.963423127204,9.47392257819618
"large_ladder",32,183,"LL183",8.31278619316109,92.963423127204,9.47392257819618
"large_ladder",32,220,"LL220",8.31278619316109,92.963423127204,9.47392257819618
"large_ladder",32,75,"LL075",8.31278619316109,92.963423127204,9.47392257819618
"large_ladder",32,240,"LL240",8.31278619316109,92.963423127204,9.47392257819618
"large_ladder",32,83,"LL083",8.31278619316109,92.963423127204,9.47392257819618
"large_ladder",32,202,"LL202",8.31278619316109,92.963423127204,9.47392257819618
"large_ladder",32,138,"LL138",8.31278619316109,92.963423127204,9.47392257819618
"large_ladder",32,165,"LL165",8.31278619316109,92.963423127204,9.47392257819618
"large_ladder",32,159,"LL159",8.31278619316109,92.963423127204,9.47392257819618
"large_ladder",32,90,"LL090",8.31278619316109,92.963423127204,9.47392257819618
"large_ladder",32,120,"LL120",8.31278619316109,92.963423127204,9.47392257819618
"large_ladder",32,229,"LL229",8.31278619316109,92.963423127204,9.47392257819618
"large_ladder",32,192,"LL192",8.31278619316109,92.963423127204,9.47392257819618
"large_ladder",32,212,"LL212",8.31278619316109,92.963423127204,9.47392257819618
"large_ladder",32,175,"LL175",8.31278619316109,92.963423127204,9.47392257819618
"large_ladder",32,96,"LL096",8.31278619316109,92.963423127204,9.47392257819618
"large_ladder",32,102,"LL102",8.31278619316109,92.963423127204,9.47392257819618
"large_ladder",32,55,"LL055",8.31278619316109,92.963423127204,9.47392257819618
"large_ladder",32,62,"LL062",8.31278619316109,92.963423127204,9.47392257819618
"large_ladder",32,131,"LL131",8.31278619316109,92.963423127204,9.47392257819618
