"Metric","Observed","Null_Mean","Null_SD","Z_Score","P_Value","Percentile"
"MinPD",6,2.679,0.78903839043584,4.20892068149635,0.00599400599400599,1
"MeanPD",9.96428571428571,8.60975,0.595722315915495,2.27377030891329,0.00699300699300699,0.998
"MeanNND",7.25,4.778625,0.716910171897128,3.44725894104712,0.000999000999000999,1
