"Scenario","Metric","CleanMetric","Type","Variance","MeanDelta","AbsMeanDelta","N"
"UC3","delta_whitened_mae","whitened_mae","Error",3.0706457946096,-0.736056988229649,1.86394301177035,80
"UC3","delta_see","see","Error",2.71447700792038,-0.846428868570611,1.76108590941434,80
"UC3","delta_percent_see","percent_see","Error",5.65415395411775,-0.908165922358596,2.16586075826411,80
"UC3","delta_R_whole","R_whole","Error",415.154434428493,1.94207650128129,3.53517468502802,80
"UC3","delta_R_ari","R_ari","Error",411.851918604749,2.31437566879129,3.34383186873193,80
"UC3","delta_R_median","R_median","Error",21.6744073549626,-0.185526375517921,1.43799743377976,80
"UC3","delta_mape","mape","Percentage Error",2.93198345500362,-0.821949873836397,1.83856637433773,80
"UC3","delta_smape","smape","Percentage Error",2.95704481555449,-0.773174614947549,1.83015027844525,80
"UC3","delta_cn_smape","cn_smape","Percentage Error",0.49094654906594,-0.137690634920665,0.479034631972646,80
"UC4","delta_whitened_r2","whitened_r2","R-squared",1.84954614017469,-0.168440733741037,1.00737978783517,80
"UC4","delta_mse","mse","Error",0.927155600841238,-0.229410426725946,0.81623896593542,80
"UC4","delta_rmse","rmse","Error",0.346448196145654,-0.150357507673636,0.475216685935538,80
"UC4","delta_mae","mae","Error",0.410578961551126,-0.100817463009,0.51338786829117,80
"UC4","delta_median_ae","median_ae","Error",0.519284706893609,-0.0510486106606848,0.567069332372881,80
"UC4","delta_whitened_rmse","whitened_rmse","Error",0.290333616933783,0.141499466737871,0.423370685839686,80
"UC4","delta_whitened_mae","whitened_mae","Error",0.128410523445922,0.131642562933918,0.298735981382592,80
"UC4","delta_see","see","Error",0.341451062508691,-0.113777539036089,0.471320722497754,80
"UC4","delta_percent_see","percent_see","Error",1539.2243982585,1.37928365526429,11.0653549450264,80
"UC4","delta_R_whole","R_whole","Error",538.441113034097,4.43053189246661,6.74229121439024,80
"UC4","delta_R_ari","R_ari","Error",145.71886802098,1.00532327557922,3.93973733056544,80
"UC4","delta_R_median","R_median","Error",325.413581332194,0.707518558814304,5.51703321445266,80
"UC4","delta_mape","mape","Percentage Error",1.12493299682334,-0.272638369358856,0.932710619653191,80
"UC4","delta_smape","smape","Percentage Error",0.31542141935213,-0.0759667667018593,0.445427173762959,80
"UC4","delta_cn_smape","cn_smape","Percentage Error",0.804838131445957,-0.155430789044502,0.68900558537539,80
