"Model","Pattern_K","Pattern_Lambda","Pattern_MoransI","Pattern_mpnns","Pattern_mean_offdiag_cor","Pattern_max_offdiag_cor","Pattern_ess_1","Pattern_ess_2","Clustered_Mean_K","Random_Mean_K","Dispersed_Mean_K","Clustered_Mean_Lambda","Random_Mean_Lambda","Dispersed_Mean_Lambda","Clustered_Mean_MoransI","Random_Mean_MoransI","Dispersed_Mean_MoransI","Clustered_Mean_mpnns","Random_Mean_mpnns","Dispersed_Mean_mpnns","Clustered_Mean_mean_offdiag_cor","Random_Mean_mean_offdiag_cor","Dispersed_Mean_mean_offdiag_cor","Clustered_Mean_max_offdiag_cor","Random_Mean_max_offdiag_cor","Dispersed_Mean_max_offdiag_cor","Clustered_Mean_ess_1","Random_Mean_ess_1","Dispersed_Mean_ess_1","Clustered_Mean_ess_2","Random_Mean_ess_2","Dispersed_Mean_ess_2"
"Lambda1",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.440289287623821,0.194579272172825,0.186822597014849,0.999926686256414,0.998444779200506,0.999926686256414,0.198066401204759,0.341109143515428,0.25990129070382,0.529251769674009,0.44609602927377,0.42969752465529,0.591122092985501,0.618156790844945,0.605339561836272,0.959685492356412,0.992377687335522,0.982728179464407,1.65590459063245,1.5934183275719,1.61898040684612,2.30403507780198,2.11781659845904,2.19266267592101
"Lambda0.7",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.587549288381173,0.440107069176801,0.436178961174023,0.99992208087306,0.99497097691329,0.977748881495145,0.22129760639969,0.467877382972877,0.451503182474816,0.599409009994403,0.439056501392864,0.33221070760774,0.588243419993087,0.612303722399029,0.600366630635166,0.961530568054037,0.986099444330376,0.979319356408041,1.66358677664178,1.60626379737871,1.63170687522601,2.31939183968748,2.15500930972192,2.22295928602544
"Lambda0.5",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.180469379252282,0.20436475012327,0.141715367140051,0.926013959765093,0.995150553233926,0.999926686256414,0.0541876661482092,0.369151392657487,0.224112256946375,0.52573903754101,0.465348528411257,0.44762336945864,0.586965285669018,0.609310199522068,0.597991458564631,0.962353308295171,0.983251543809635,0.978277914856372,1.66702057376791,1.61300469154267,1.63785616127131,2.32621450048038,2.17391989823064,2.23788507606677
"OU_alpha0.2",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.440613388382805,0.0630162227568478,0.0503510414917141,0.889800059681615,0.781416185408496,0.999926686256414,0.0908957296857042,0.0431544161987774,0.0281420375516031,0.567421675647302,0.501368199640583,0.46690034628214,0.157778834854461,0.0227155787738619,0.0108470459823133,0.629551282755196,0.586222937219807,0.206344319048621,5.43188227094321,18.8468061661166,23.9474635972324,12.1961451896458,26.3326614145453,30.5874655384697
"OU_alpha1",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.0872539376452285,0.0691233394364411,0.0799141540220066,7.33137435857406e-05,0.74382528107733,0.983404546417417,-0.0636766560634825,-0.0244015949900815,-0.0473028626950421,0.618719717418737,0.626895211436735,0.574183864115104,0.00559134988667213,0.000657076165422635,8.06731374108037e-06,0.102311408542989,0.0718983842825124,0.000374078358007698,27.2727618327361,31.3625958133679,31.9919992256563,31.7402394644347,31.9710464635701,31.9999981380631
"OU_alpha5",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.120305137072564,0.0527918243822984,0.0657526005203188,0.999926686256414,0.640653337864654,0.815729817150731,-0.0188360033954947,-0.0330044818231006,-0.0441947247088361,0.77194370577951,0.75574529587063,0.727273427519212,9.61298473587853e-08,1.02305843310698e-08,4.68318072833636e-20,1.12103797052794e-05,3.62151260308365e-06,7.32508917117023e-18,31.9999046394756,31.9999898512685,32,31.9999999994403,31.9999999999161,32
