"lambda","MeanESS"
0,20
0.1,14.5121134220364
0.2,11.3874591976436
0.3,9.3699765613499
0.4,7.95976790478238
0.5,6.91851180605266
0.6,6.11816480004812
0.7,5.48378930501872
0.8,4.96860814311671
0.9,4.54191270757132
1,4.18270893104409
