"Analysis","Subset_Type","Metric","Observed","Baseline_Mean","Baseline_SD","Baseline_Q025","Baseline_Q975","SES","P_value","Tail"
"distance","dispersed","MinPD",27.6665217814,3.74761540585055,2.38180308492438,0.3465695404,9.525250274,10.0423525886519,0.000999000999000999,"high"
"distance","dispersed","MeanPD",68.8725076996732,66.3526776139802,2.09447580179689,61.1060634091999,69.0229481998919,1.20308388549112,0.038961038961039,"high"
"distance","dispersed","MeanNND",38.507179663995,19.147668859763,3.20357462805101,13.2669852642099,25.6988848416809,6.04309655680161,0.000999000999000999,"high"
"distance","clustered","MeanPD",9.25404696162684,66.3526776139802,2.09447580179689,61.1060634091999,69.0229481998919,-27.2615375185368,0.000999000999000999,"low"
"distance","clustered","MeanNND",2.76755334553,19.147668859763,3.20357462805101,13.2669852642099,25.6988848416809,-5.1130744296718,0.000999000999000999,"low"
"distance","clustered","MaxPD",11.4865454126,85.9864912105744,5.76349597543782e-07,85.98649013199,85.9864923447,-129261729.539622,0.000999000999000999,"low"
"dependence","dispersed","off_mean",0.199031062728396,0.228336006185557,0.0243581958659086,0.197281471510068,0.289352736186358,-1.2030834967616,0.038961038961039,"low"
"dependence","dispersed","rmax",0.678245723780341,0.956416229395573,0.027699736492057,0.889223870104449,0.995969488248965,-10.0423520525186,0.000999000999000999,"low"
"dependence","dispersed","neff_mean",4.66366916014972,4.17647648793815,0.169944765887752,3.71738614241914,4.43726749175872,2.86677068085378,0.000999000999000999,"high"
"dependence","clustered","off_mean",0.89237789334698,0.228336006185557,0.0243581958659086,0.197281471510068,0.289352736186358,27.2615382032791,0.000999000999000999,"high"
"dependence","clustered","rmax",0.997515290619766,0.956416229395573,0.027699736492057,0.889223870104449,0.995969488248965,1.48373473646503,0.00799200799200799,"high"
"dependence","clustered","neff_mean",1.1202956293579,4.17647648793815,0.169944765887752,3.71738614241914,4.43726749175872,-17.9833773792059,0.000999000999000999,"low"
