"SubsetID","MinPD","MeanPD","MeanNND","MaxPD"
1,1.8358117646,61.9205739562182,18.495737598882,85.9864909776
2,5.7769390929,66.3173924265203,19.7014914669675,85.9864917745
3,1.1709612834,63.4792886441148,15.028874767629,85.9864917446
4,1.1287741295,63.5536229391455,15.26764960891,85.9864919331
5,3.6082291603,68.761021022384,18.490644822327,85.9864912659
6,1.8358117646,68.1563562421426,16.856992643804,85.98649009404
7,4.5574172014,65.479584318535,16.806523197527,85.9864917411
8,4.1458294283,68.410511652464,17.85549417135,85.9864923447
9,2.1515064624,66.629710937467,19.603740026772,85.9864917127
10,3.9020720006,63.5056249881929,17.499162030137,85.9864922132
11,7.1441113307,65.4158485676998,17.693215456909,85.9864912687
12,8.7999122178,68.7305939860332,20.741303596129,85.9864907638
13,2.7920379016,66.0490671575432,21.86678473019,85.9864913964
14,4.1555489376,64.8500677885379,13.74080436456,85.9864903552
15,2.5254806776,67.08636802534,14.8863758104,85.9864913927
16,4.943470016,66.5742675402514,16.396741838894,85.9864913904
17,3.6082291603,66.00752335879,14.82118100499,85.9864912998
18,5.537461252,67.4035782001453,23.72568184755,85.9864913001
19,3.255574362,67.50726820926,15.617187931615,85.9864922132
20,3.6082288442,68.2510975172647,16.9323787584,85.9864917127
21,1.067974692,66.4260900079853,21.57701792396,85.9864915841
22,6.6767603918,67.8820601303353,19.533183642975,85.9864916086
23,3.13275319,68.4390118602114,20.5281773506485,85.9864903208
24,2.0706303488,67.752536034815,20.345615452177,85.9864920901
25,6.4956638113,64.7226275145358,24.9878543095445,85.9864907943
26,2.7920379338,64.7264224827767,17.449374667225,85.9864906382
27,2.27879039,64.3362886951558,12.091914726975,85.9864908288
28,1.7949025496,65.4355940643073,21.326476633762,85.9864912656
29,6.420077438,63.2802349238279,23.9261404546,85.9864903492
30,4.3135468459,67.7038757303105,18.068749618748,85.9864907963
31,10.05062966,67.6095281450656,19.174536422314,85.9864915852
32,2.7920378384,68.5846664903685,21.854395464774,85.9864924069
33,7.926811298,59.0911008483411,23.0701746995765,85.9864908267
34,4.313546909,57.8958628998968,18.33647115982,85.9864925663
35,2.47588211,63.610092517831,15.951796694265,85.9864916143
36,1.1287741295,67.0572976982774,14.388792086057,85.9864909507
37,4.6331794735,66.1884060328566,17.847709561574,85.9864906658
38,5.70599453434,69.5213329553788,16.736071425321,85.9864904086
39,5.62566407524,66.5618958233014,22.371646832391,85.9864917127
40,5.6308779777,67.4696593815186,17.977026183815,85.9864910808
41,0.9168774012,66.4707399906907,20.899834590005,85.9864913904
42,3.9020720006,64.7278930352253,18.92178012401,85.9864907609
43,3.6082288442,66.2577983130095,16.95340276171,85.9864906663
44,2.6865447238,66.9746934596561,16.740018080479,85.9864910396
45,5.6308779777,67.3954214396507,21.206589970847,85.9864908551
46,3.7115093179,59.4668178028774,18.4213952138245,85.9864911435
47,9.5972099149,64.3635221227572,21.191620218504,85.9864910484
48,2.4373876922,67.2407122880747,15.38508134274,85.9864903495
49,9.2738386412,64.0723270515948,28.289500976232,85.9864912956
50,4.5911790884,66.8044163968049,15.515086864871,85.9864920886
51,7.271142798,68.5675508832333,18.447159025628,85.9864915781
52,8.0208820795,65.3917387085963,16.754361027425,85.9864916151
53,2.928019428,66.3138441202887,16.993894678899,85.9864914875
54,0.2136514338,66.8945931417632,21.31448314394,85.9864908551
55,3.9020720006,64.3195723813166,16.029046177284,85.9864908275
56,4.3135468775,65.6195711033114,16.960087907811,85.9864910755
57,5.9637521006,68.1562479220789,19.28941311421,85.9864904484
58,2.5720437269,67.324041391145,18.140162690804,85.9864916143
59,2.4086519957,64.7039178821207,20.299424505067,85.9864913607
60,2.107558252,67.3232068216473,12.246130565019,85.9864906649
61,1.1709612834,64.6838866602175,23.886906159594,85.9864910419
62,2.567644734,67.4468277763108,15.652385034951,85.9864922132
63,6.4956636213,67.5501028192022,18.828054359876,85.9864903507
64,2.711255442,66.8682541126526,20.291949257225,85.9864907292
65,3.7115093179,66.6773511613897,12.468751667392,85.98649088704
66,1.1287741295,64.6005635544989,19.751442599901,85.9864909875
67,1.067974692,65.8489500388172,20.079556982777,85.986491615
68,4.5574172014,65.128802817614,19.020826125432,85.98649038444
69,4.3135468775,66.4096506038175,23.0196233680115,85.9864922456
70,8.3287996922,67.8385318923635,20.083141862861,85.9864915836
71,0.3992397754,67.818628962741,21.47106827504,85.9864900385
72,3.6082291603,67.7549254922861,16.105219841772,85.9864913003
73,0.831873366,61.7893971222642,19.35279377145,85.9864898072
74,0.8948449048,66.9647490470421,15.336828808985,85.9864917087
75,2.045338152,64.8409590531211,13.903858652445,85.9864915836
76,7.926811298,67.9284848341271,21.216613365565,85.9864917747
77,6.4956637474,69.26187560101,23.95603926704,85.9864912961
78,3.6082288442,66.6655633697956,18.006596849174,85.9864903495
79,0.6883504984,67.6654085534024,16.664849917755,85.98649108
80,5.71195729114,65.2276961058128,21.171141858849,85.9864902509
81,3.1216530196,68.1564069082719,18.976680154395,85.9864910419
82,2.9151301757,67.0139965092323,18.905705795437,85.9864913002
83,5.140576272,67.6917175825163,17.11085672227,85.9864909765
84,9.1736092948,68.486412307004,18.125747154871,85.9864919293
85,6.4956636209,68.5062534892801,23.160300533716,85.9864924069
86,7.5705688536,65.9328897248272,27.300022264369,85.9864905715
87,1.1287741295,67.7384445032239,18.75874686121,85.9864917401
88,1.4343186836,67.3162212901208,21.390588403064,85.9864907922
89,10.2999078346,68.8001096322566,23.442555430709,85.9864903536
90,2.889526116,65.9286623085474,22.723092867585,85.9864919019
91,0.6488770492,60.829577580079,16.138530237514,85.9864912997
92,4.61471617524,69.9969910304796,21.4969280234095,85.9864915836
93,1.7285704214,65.1308046398758,14.63060557472,85.9864919256
94,2.4373876922,68.00643580799,16.92967320162,85.9864919266
95,2.9151301757,65.7660429661247,19.090809028485,85.9864920886
96,2.4373876922,58.0662425972629,17.827741310674,85.9864912665
97,2.6205933702,67.8101709372747,21.901680294545,85.9864912015
98,4.3135469091,67.9687594710324,17.122463550919,85.9864917127
99,2.7920379016,67.9386932297887,14.943772472069,85.9864912687
100,3.0350250265,65.9782296441887,18.564686874434,85.9864915193
101,4.3150125655,67.8828499178041,18.083294783713,85.9864906339
102,3.0350252161,68.4051841576684,20.307048673935,85.9864909847
103,2.820517726,68.1374442910508,21.820906231569,85.9864915836
104,5.6256641637,67.0518868678512,17.276975740558,85.9864917446
105,4.138655654,67.7545859118294,19.241715187882,85.9864911376
106,4.5574172014,67.4001292161851,19.144661962414,85.9864913904
107,2.5720437269,66.2420629844953,13.702460674425,85.9864906338
108,2.46463612,67.7433884578057,19.778939566392,85.9864914562
109,3.7115093179,68.0536510893151,16.163010093614,85.986490757
110,5.243142528,67.8122498113384,17.892945938145,85.9864910798
111,9.164672728,68.8192775467961,20.827713876304,85.9864911395
112,3.9731533734,65.6845798423057,19.103854154741,85.9864905676
113,3.9020720006,67.2691340139107,22.342138068715,85.9864910802
114,4.6331797259,66.8952310581734,20.9665951024625,85.9864912975
115,2.5254806776,69.5362969479755,20.6460903211225,85.9864911697
116,0.836406392,66.8096441224035,25.098928383602,85.98649022404
117,0.6883504984,67.9516537955372,11.996015605604,85.9864909847
118,3.7115093179,67.0311739105319,18.055172478789,85.9864917345
