"Subset_Type","Subset_Size","lambda","n_species","off_mean","rmax","neff_mean"
"dispersed",20,1,20,0.199031062728396,0.678245723780341,4.66366916014972
"dispersed",20,0.75,20,0.149273297046297,0.508684292835256,5.65047848849016
"dispersed",20,0.5,20,0.0995155313641979,0.33912286189017,7.2854031630763
"dispersed",20,0.25,20,0.0497577656820989,0.169561430945085,10.5120266249898
"dispersed",20,0.1,20,0.0199031062728396,0.0678245723780341,14.597600641281
"dispersed",20,0,20,0,0,20
