"Metric","Dispersed","Clustered","Random_Mean","Random_SD","Dispersed_SES","Clustered_SES","Dispersed_P_high","Clustered_P_low"
"MinPD",27.6665217814,0.2136514338,3.74761540585055,2.38180308492438,12.4659135916782,-1.429606673418,0.000999000999000999,0.00799200799200799
"MeanPD",68.8725076996732,9.09550428799316,66.3526776139802,2.09447580179689,-0.563266003796422,-40.6573799733255,0.038961038961039,0.000999000999000999
"MeanNND",38.507179663995,2.971028224795,19.147668859763,3.20357462805101,7.41284093696701,-5.4770456250511,0.000999000999000999,0.000999000999000999
