"Case","Tree_Type","Subset_Type","N","s","MinPD","MeanPD","MeanNND","MaxPD","MeanOffCor","MaxOffCor","MIESS","off_mean","rmax","MeanESS","neff_mean"
"Balanced_Clustered","balanced","clustered",32,8,0.4,0.971428571428571,0.4,1.2,0.514285714285714,0.8,1.73913043478261,0.514285714285714,0.8,1.73913043478261,1.73913043478261
"Balanced_Dispersed","balanced","dispersed",32,8,1.2,1.77142857142857,1.2,2,0.114285714285714,0.4,4.44444444444444,0.114285714285714,0.4,4.44444444444444,4.44444444444444
"Ladder_Clustered","ladder","clustered",32,8,0.0645161290322581,0.32258064516129,0.233870967741935,0.451612903225806,0.838709677419355,0.967741935483871,1.19175207359497,0.838709677419355,0.967741935483871,1.19175207359497,1.19175207359497
"Ladder_Dispersed","ladder","dispersed",32,8,1.61290322580645,1.87096774193548,1.78225806451613,2,0.0645161290322581,0.193548387096774,5.70277350999035,0.0645161290322581,0.193548387096774,5.70277350999035,5.70277350999035
