"N","s","Subset_Type","Metric","Observed","SES","P_value"
32,8,"dispersed","MinPD",41.8305785232,2.90260723265567,0.000999000999000999
32,8,"dispersed","MeanPD",71.33074313719,1.79236389476126,0.002997002997003
32,8,"dispersed","MeanNND",54.36088994364,2.80364417556839,0.000999000999000999
32,8,"dispersed","MaxPD",77.5667193762,0.161397097452368,0.0639360639360639
32,8,"clustered","MinPD",7.0821346054,-1.6864743371645,0.0769230769230769
32,8,"clustered","MeanPD",22.7359208368293,-9.01459674655149,0.000999000999000999
32,8,"clustered","MeanNND",17.589061891895,-3.08361595043529,0.000999000999000999
32,8,"clustered","MaxPD",33.50320360756,-35.8123767414267,0.000999000999000999
32,16,"dispersed","MinPD",30.4484775879,4.46134589819926,0.000999000999000999
32,16,"dispersed","MeanPD",64.8572829946592,0.685547306770954,0.253746253746254
32,16,"dispersed","MeanNND",40.674571133295,3.58534956129548,0.000999000999000999
32,16,"dispersed","MaxPD",77.5667193762,0.0633498917523485,0.252747252747253
32,16,"clustered","MinPD",10.3993909661,-0.412416304783811,0.431568431568432
32,16,"clustered","MeanPD",40.089327955145,-10.729569211865,0.000999000999000999
32,16,"clustered","MeanNND",26.0280722511175,-1.23881146246521,0.112887112887113
32,16,"clustered","MaxPD",51.953191381,-263.017255484869,0.000999000999000999
64,8,"dispersed","MinPD",47.618125162,3.49934056226103,0.000999000999000999
64,8,"dispersed","MeanPD",72.5587315687936,2.05107791954997,0.000999000999000999
64,8,"dispersed","MeanNND",54.461993317995,3.04208281521386,0.001998001998002
64,8,"dispersed","MaxPD",77.5667193762,0.199541824378083,0.011988011988012
64,8,"clustered","MinPD",3.103427064,-1.84318711265417,0.020979020979021
64,8,"clustered","MeanPD",13.1640647122643,-8.90689517172483,0.000999000999000999
64,8,"clustered","MeanNND",7.79002856085,-4.3110460377831,0.000999000999000999
64,8,"clustered","MaxPD",17.0487069533,-20.5389383879214,0.000999000999000999
64,16,"dispersed","MinPD",33.50320360756,4.5830807359521,0.000999000999000999
64,16,"dispersed","MeanPD",68.3854956656,2.24492817003274,0.000999000999000999
64,16,"dispersed","MeanNND",41.5022264518637,3.72154208246041,0.000999000999000999
64,16,"dispersed","MaxPD",77.5667193762,0.221970224005221,0.0539460539460539
64,16,"clustered","MinPD",3.103427064,-1.16649707981164,0.123876123876124
64,16,"clustered","MeanPD",23.348184098174,-12.3555358669846,0.000999000999000999
64,16,"clustered","MeanNND",16.1240923053013,-3.4339286573474,0.000999000999000999
64,16,"clustered","MaxPD",33.50320360756,-134.756000605863,0.000999000999000999
64,32,"dispersed","MinPD",25.5546364792,8.9401804883159,0.000999000999000999
64,32,"dispersed","MeanPD",63.3496772783017,1.18027041112406,0.113886113886114
64,32,"dispersed","MeanNND",32.161315679165,4.34567244314838,0.000999000999000999
64,32,"dispersed","MaxPD",77.5667193762,1.19749705197128,0.227772227772228
64,32,"clustered","MinPD",4.7433371628,0.205340916803138,0.724275724275724
64,32,"clustered","MeanPD",37.5163551623865,-13.6289463158604,0.000999000999000999
64,32,"clustered","MeanNND",17.4315676822469,-3.3649312318703,0.001998001998002
64,32,"clustered","MaxPD",41.8305773587,-58634160.5788491,0.000999000999000999
128,8,"dispersed","MinPD",51.9531913811,4.3570899220782,0.000999000999000999
128,8,"dispersed","MeanPD",74.01591999894,2.24232799640576,0.000999000999000999
128,8,"dispersed","MeanNND",58.6523325426575,3.47431233728115,0.000999000999000999
128,8,"dispersed","MaxPD",77.5667202502,0.209741318108799,0.001998001998002
128,8,"clustered","MinPD",1.304499212,-2.13173110186846,0.003996003996004
