"N","s","Subset_Type","Covariance_Model","Covariance_Param_Label","Metric","Observed","SES","P_value"
128,8,"dispersed","OU","half_life_frac=0.5","off_mean",0.0121943014986573,-2.30853726411751,0.000999000999000999
128,8,"dispersed","OU","half_life_frac=0.5","rmax",0.0998756707829274,-2.60368819579533,0.000999000999000999
128,8,"dispersed","OU","half_life_frac=0.5","neff_mean",7.3793052437844,3.53093798716045,0.000999000999000999
128,8,"clustered","OU","half_life_frac=0.5","off_mean",0.762035350072171,18.4721323607245,0.000999000999000999
128,8,"clustered","OU","half_life_frac=0.5","rmax",0.951404439270423,2.71322795721465,0.003996003996004
128,8,"clustered","OU","half_life_frac=0.5","neff_mean",1.30521843196855,-6.19132417562177,0.000999000999000999
128,8,"dispersed","OU","half_life_frac=1","off_mean",0.0251434982426417,-2.31811898466205,0.000999000999000999
128,8,"dispersed","OU","half_life_frac=1","rmax",0.193516320394223,-3.33246259138743,0.000999000999000999
128,8,"dispersed","OU","half_life_frac=1","neff_mean",6.82867764256953,3.69695789268027,0.000999000999000999
128,8,"clustered","OU","half_life_frac=1","off_mean",0.840722673253588,13.3130928775635,0.000999000999000999
128,8,"clustered","OU","half_life_frac=1","rmax",0.969273735318154,2.41171689341346,0.003996003996004
128,8,"clustered","OU","half_life_frac=1","neff_mean",1.18816036936574,-5.03967614401239,0.000999000999000999
128,8,"dispersed","EB","EB_r_-0.1","off_mean",0.0424107032027929,-2.25605847038065,0.000999000999000999
128,8,"dispersed","EB","EB_r_-0.1","rmax",0.308820053304977,-4.19158549644739,0.000999000999000999
128,8,"dispersed","EB","EB_r_-0.1","neff_mean",6.22094326418932,3.64313383298191,0.000999000999000999
128,8,"clustered","EB","EB_r_-0.1","off_mean",0.899260089726968,10.0633867248659,0.000999000999000999
128,8,"clustered","EB","EB_r_-0.1","rmax",0.981530126648606,2.16924858596579,0.003996003996004
128,8,"clustered","EB","EB_r_-0.1","neff_mean",1.11265158929574,-4.38220652125975,0.000999000999000999
128,8,"dispersed","EB","EB_r_-0.5","off_mean",0.0312927779761906,-2.30018608080381,0.000999000999000999
128,8,"dispersed","EB","EB_r_-0.5","rmax",0.236238977527217,-3.6667978801081,0.000999000999000999
128,8,"dispersed","EB","EB_r_-0.5","neff_mean",6.59800125629795,3.70391552281183,0.000999000999000999
128,8,"clustered","EB","EB_r_-0.5","off_mean",0.867106667332016,11.8566083789292,0.000999000999000999
128,8,"clustered","EB","EB_r_-0.5","rmax",0.974949427280951,2.30180077364778,0.003996003996004
128,8,"clustered","EB","EB_r_-0.5","neff_mean",1.15309731500662,-4.73632685986813,0.000999000999000999
128,8,"dispersed","EB","EB_r_-1","off_mean",0.0214705428427892,-2.32967969591198,0.000999000999000999
128,8,"dispersed","EB","EB_r_-1","rmax",0.169008726821068,-3.19742089818175,0.000999000999000999
