"N","s","Subset_Type","Covariance_Model","Covariance_Param_Label","Observed","SES","P_value"
512,8,"clustered","OU","half_life_frac=0.25",1.32091764555262,-10.3081386350427,0.000999000999000999
512,8,"dispersed","OU","half_life_frac=0.5",7.43819090098303,3.66940977893365,0.000999000999000999
512,8,"clustered","OU","half_life_frac=0.5",1.16366386660015,-6.62246966516899,0.000999000999000999
512,8,"dispersed","OU","half_life_frac=1",6.90974961007214,3.91896481659398,0.000999000999000999
512,8,"clustered","OU","half_life_frac=1",1.10116756880386,-5.39091674288797,0.000999000999000999
512,64,"dispersed","BM","BM",8.91352721662869,3.47745959038061,0.000999000999000999
512,64,"clustered","BM","BM",1.29802723759573,-8.96867631537985,0.000999000999000999
512,64,"dispersed","lambda_BM","lambda=1",8.91352721662869,3.47745959038061,0.000999000999000999
512,64,"clustered","lambda_BM","lambda=1",1.29802723759573,-8.96867631537985,0.000999000999000999
512,64,"dispersed","lambda_BM","lambda=0.75",10.9802440351104,3.90709180953996,0.000999000999000999
512,64,"clustered","lambda_BM","lambda=0.75",1.71241488971722,-9.74572374356524,0.000999000999000999
512,64,"dispersed","lambda_BM","lambda=0.5",14.4894423286299,4.32718008125001,0.000999000999000999
512,64,"clustered","lambda_BM","lambda=0.5",2.52474955121918,-10.9558737196947,0.000999000999000999
512,64,"dispersed","lambda_BM","lambda=0.25",22.0498090365701,4.44222371734318,0.000999000999000999
512,64,"clustered","lambda_BM","lambda=0.25",4.83517642520894,-13.2322967105513,0.000999000999000999
512,64,"dispersed","lambda_BM","lambda=0.1",34.1423455552417,3.60948964184559,0.000999000999000999
512,64,"clustered","lambda_BM","lambda=0.1",10.8221757919668,-16.1717941456897,0.000999000999000999
512,64,"dispersed","lambda_BM","lambda=0",64,NA,1
512,64,"clustered","lambda_BM","lambda=0",64,NA,1
512,64,"dispersed","OU","half_life_frac=0.05",63.9919070952466,2.93622271007362,0.000999000999000999
512,64,"clustered","OU","half_life_frac=0.05",41.7968012760283,-17.9939966785854,0.000999000999000999
512,64,"dispersed","OU","half_life_frac=0.1",62.2646014299054,5.80006092880856,0.000999000999000999
512,64,"clustered","OU","half_life_frac=0.1",14.449018680987,-20.4084357600474,0.000999000999000999
512,64,"dispersed","OU","half_life_frac=0.25",33.1645378368549,7.25541271030017,0.000999000999000999
512,64,"clustered","OU","half_life_frac=0.25",3.39908878423882,-13.9355754324959,0.000999000999000999
512,64,"dispersed","OU","half_life_frac=0.5",17.8448501245653,5.56006704036581,0.000999000999000999
512,64,"clustered","OU","half_life_frac=0.5",1.97951747863101,-10.6433981209076,0.000999000999000999
512,64,"dispersed","OU","half_life_frac=1",12.4957151323015,4.47602066770429,0.000999000999000999
512,64,"clustered","OU","half_life_frac=1",1.56362667464951,-9.58946957660926,0.000999000999000999
