"Scenario","Type","Avg_Variance","Max_Variance","Min_Variance","Avg_AbsDelta","n_Metrics"
"Bad","Correlation",754.512587036015,1442.72075489465,66.3044191773775,6.49954373925352,2
"Bad","Error",0.182949382929584,0.558644322034034,0.0495705651689585,0.659856245132725,11
"Bad","Percentage Error",0.165332372635101,0.311442867096343,0.0554225830618191,0.838832382715528,3
"Bad","R-squared",320.719103314568,639.467418265937,1.97078836319825,3.71147321745768,2
"Good","Correlation",6.18276478629275e-06,1.1206241293068e-05,1.15928827951751e-06,0.002177367463648,2
"Good","Error",0.035739314218624,0.0913182812525215,8.11063641705935e-05,0.180816834219706,11
"Good","Percentage Error",0.157182659889614,0.294078586739559,0.000352843511718011,0.849533866030736,3
"Good","R-squared",4.79208910009378e-06,4.9470432025539e-06,4.63713499763367e-06,0.00210240211267553,2
"UC1","Correlation",0.202451741814788,0.269282670664049,0.135620812965528,0.334966141851399,2
"UC1","Error",0.0211647643153069,0.09197493573508,0,0.168337492583819,10
"UC1","Percentage Error",0.149679463802935,0.392820026072835,0.000933475990654085,0.60697826289539,3
"UC1","R-squared",0.711304514346012,0.817781816306871,0.604827212385153,0.73796779165992,2
"UC2_st","Correlation",0.601458519236117,0.614029299843611,0.588887738628623,0.471335765492805,2
"UC2_st","Error",23.7285381116412,192.970730945251,0.110781050890865,0.882584823922784,11
"UC2_st","Percentage Error",0.170511085248139,0.259158369444858,0.0692944067900765,0.806855364146989,3
"UC2_st","R-squared",0.813330396824385,0.904548288669437,0.722112504979334,0.715291223274301,2
"UC2_wk","Correlation",0.362937173909941,0.44740674762623,0.278467600193652,0.412965861656404,2
"UC2_wk","Error",31.62195148746,345.626189967597,0.02499554364935,0.634425202127968,11
"UC2_wk","Percentage Error",0.134699432465764,0.311124669634598,0.0131371657625557,0.754344758034925,3
"UC2_wk","R-squared",0.597784868647025,0.695413225397816,0.500156511896234,0.717695008927297,2
"UC3","Correlation",0.033022692528326,0.0375925829843876,0.0284528020722644,0.204899965758832,2
"UC3","Error",3.14115976020968,33.9964421181961,0.00927462642733549,0.361331631311069,11
"UC3","Percentage Error",0.150740671956038,0.329814511558348,0.0069145029098745,0.81888842115766,3
"UC3","R-squared",0.112645693568343,0.119580700631755,0.105710686504931,0.381171428900906,2
