"Scenario","Metric","CleanMetric","Type","Variance","MeanDelta","AbsMeanDelta","N"
"Good","delta_ols_r2","ols_r2","R-squared",4.63713499763367e-06,-0.00149821093547887,0.00206082722295224,250
"Good","delta_adjusted_r2","adjusted_r2","R-squared",4.9470432025539e-06,-0.00157761096559432,0.00214397700239882,250
"Good","delta_mse","mse","Error",0.0913182812525215,-0.00859737259383611,0.242772224285326,250
"Good","delta_rmse","rmse","Error",0.023637874015215,-0.0044616888652293,0.122800848213348,250
"Good","delta_weighted_rmse","weighted_rmse","Error",0.0557819826091694,-0.105377859078345,0.210945723153556,250
"Good","delta_mae","mae","Error",0.0273850278160634,0.0031864839587577,0.132012501306264,250
"Good","delta_median_ae","median_ae","Error",0.0646952316136175,0.0223995110047215,0.203248675987976,250
"Good","delta_see","see","Error",0.023426051232689,0.0126898943394483,0.12325425656147,250
"Good","delta_percent_see","percent_see","Error",0.0788960188225179,-0.827201071956563,0.827201071956563,250
"Good","delta_R_whole","R_whole","Error",0.000664224325728412,-0.00245262691649034,0.00887586778479599,250
"Good","delta_R_ari","R_ari","Error",0.0259246435960334,-0.0178284883393708,0.0861655389659266,250
"Good","delta_R_geo","R_geo","Error",0.00132201475713786,-0.00509583677275655,0.0253725649880568,250
"Good","delta_R_median","R_median","Error",8.11063641705935e-05,0.000630804999387119,0.00633590321348062,250
"Good","delta_pearson_corr","pearson_corr","Correlation",1.15928827951751e-06,-0.000749106057686323,0.00103041457093607,250
"Good","delta_spearman_corr","spearman_corr","Correlation",1.1206241293068e-05,-0.0028095593051029,0.00332432035635994,250
"Good","delta_mape","mape","Percentage Error",0.294078586739559,-1.25067742157599,1.29626772599427,250
"Good","delta_smape","smape","Percentage Error",0.177116549417565,-1.20609331927367,1.21703832484668,250
"Good","delta_cn_smape","cn_smape","Percentage Error",0.000352843511718011,0.0346032324355225,0.0352955472512663,250
"UC1","delta_ols_r2","ols_r2","R-squared",0.604827212385153,-0.351081733879697,0.684883870692648,250
"UC1","delta_adjusted_r2","adjusted_r2","R-squared",0.817781816306871,-0.421418485489093,0.791051712627192,250
"UC1","delta_mse","mse","Error",0.0139151989397007,0.00776420903796239,0.110177400595582,250
"UC1","delta_rmse","rmse","Error",0.00348883027273766,0.00385932383408355,0.0551510789434799,250
"UC1","delta_weighted_rmse","weighted_rmse","Error",4.1622451593096e-33,-1.31502972025574e-18,3.00851866446175e-17,250
"UC1","delta_mae","mae","Error",0.0139151989397007,0.0077642090379624,0.110177400595582,250
"UC1","delta_see","see","Error",0.00302217590178853,0.0210810599851763,0.0544527247159871,250
"UC1","delta_percent_see","percent_see","Error",0.0703149451696063,-0.82179040904818,0.822373908598048,250
"UC1","delta_R_whole","R_whole","Error",0.09197493573508,0.333397876246728,0.33391041468093,250
"UC1","delta_R_ari","R_ari","Error",0.00154713896849206,0.0676816562001724,0.0716077424786453,250
"UC1","delta_R_geo","R_geo","Error",0.0134692192259628,0.0811995692026982,0.125524255229939,250
"UC1","delta_R_median","R_median","Error",0,0,0,250
"UC1","delta_pearson_corr","pearson_corr","Correlation",0.269282670664049,-0.20646540989081,0.400974890923585,250
"UC1","delta_spearman_corr","spearman_corr","Correlation",0.135620812965528,-0.0455643247778176,0.268957392779214,250
"UC1","delta_mape","mape","Percentage Error",0.392820026072835,-1.2021469024176,1.28000620417717,250
"UC1","delta_smape","smape","Percentage Error",0.0552848893453144,-0.465616684865609,0.473930391593092,250
"UC1","delta_cn_smape","cn_smape","Percentage Error",0.000933475990654085,0.0652049080284369,0.0669981929159068,250
"UC2_st","delta_ols_r2","ols_r2","R-squared",0.722112504979334,-0.139111589626048,0.681200240795764,250
"UC2_st","delta_adjusted_r2","adjusted_r2","R-squared",0.904548288669437,-0.198116986325788,0.749382205752838,250
"UC2_st","delta_mse","mse","Error",0.397367680135539,-0.170100010581139,0.520388807448527,250
"UC2_st","delta_rmse","rmse","Error",0.119245606535977,-0.0951377740517345,0.277108991460888,250
"UC2_st","delta_weighted_rmse","weighted_rmse","Error",0.110781050890865,-0.213543422484779,0.315666618600165,250
"UC2_st","delta_mae","mae","Error",0.13408208655419,-0.0800509747063035,0.291939581256551,250
"UC2_st","delta_median_ae","median_ae","Error",0.197926399015247,-0.0612370640699853,0.35963862140305,250
"UC2_st","delta_see","see","Error",0.119969675514167,-0.0783809435326758,0.274598632471581,250
"UC2_st","delta_percent_see","percent_see","Error",0.148812909109205,-0.875456839700265,0.879409344298112,250
"UC2_st","delta_R_whole","R_whole","Error",48.6427461637993,0.233637294303865,1.44451804226109,250
"UC2_st","delta_R_ari","R_ari","Error",192.970730945251,-0.517036759851416,3.97226425097127,250
"UC2_st","delta_R_geo","R_geo","Error",0.197910693202891,0.360619790407169,0.45079580682741,250
"UC2_st","delta_R_median","R_median","Error",17.9743460180445,0.298815437948351,0.922104366151981,250
"UC2_st","delta_pearson_corr","pearson_corr","Correlation",0.588887738628623,-0.165817825948896,0.462371108789166,250
"UC2_st","delta_spearman_corr","spearman_corr","Correlation",0.614029299843611,-0.187056146084559,0.480300422196444,250
"UC2_st","delta_mape","mape","Percentage Error",0.259158369444858,-1.33657886193106,1.36658805689627,250
"UC2_st","delta_smape","smape","Percentage Error",0.183080479509483,-0.643291907250857,0.671623424124049,250
"UC2_st","delta_cn_smape","cn_smape","Percentage Error",0.0692944067900765,0.348533581649499,0.382354611420648,250
"UC2_wk","delta_ols_r2","ols_r2","R-squared",0.500156511896234,-0.41243358814865,0.661201517706483,250
