"Metric","median_z","mean_z","sd_z","iqr_z","min_z","max_z","median_percentile","mean_percentile","sd_percentile","iqr_percentile","prop_above95","n_above95","total_trees","median_p","mean_p","prop_p_lt_0_05","prop_p_lt_0_01","wilcox_p","t_test_p"
"MinPD",7.88976841117848,7.93950500167263,0.541699256185778,0.312912598840856,6.62363119040071,8.76962478687253,1,1,0,0,1,150,150,0.00497512437810945,0.00497512437810945,1,1,1.00908172270958e-26,2.56829723739855e-176
"MeanPD",3.56267958749836,3.61529866158596,0.372819230726045,0.623582402664565,3.03973691957746,4.07014140829297,1,0.999,0.00301005027940793,0,1,150,150,0.00497512437810945,0.00597014925373134,1,0.9,1.00908172270958e-26,8.89605232083246e-150
"MeanNND",6.17057809029414,6.24204046531305,0.41970178762856,0.402386639139841,5.69539997325809,7.21918909796526,1,1,0,0,1,150,150,0.00497512437810945,0.00497512437810945,1,1,1.00908172270958e-26,2.93544511927023e-177
