"Scenario","Metric","CleanMetric","Type","Variance","MeanDelta","AbsMeanDelta","N"
"UC2_wk","delta_mape","mape","Percentage Error",0.584742686542651,-0.144159677197601,0.65083223073566,1000
"UC2_wk","delta_smape","smape","Percentage Error",0.0341801171796862,0.00087782680501412,0.149960678393711,1000
"UC2_wk","delta_cn_smape","cn_smape","Percentage Error",0.0340647014153062,-0.021053085572533,0.148445518684482,1000
"UC3","delta_ols_r2","ols_r2","R-squared",0.00431437784727657,-0.00279235559178551,0.0488134475994773,1000
"UC3","delta_adjusted_r2","adjusted_r2","R-squared",0.00481549446002215,-0.00801986774296474,0.0510143536875654,1000
"UC3","delta_mse","mse","Error",0.16707540192312,-0.0516328065406092,0.330634968429636,1000
"UC3","delta_rmse","rmse","Error",0.0445344188324976,-0.0271057220891469,0.168999571400971,1000
"UC3","delta_mae","mae","Error",0.0455779797127702,-0.0170553817921303,0.171241737681387,1000
"UC3","delta_median_ae","median_ae","Error",0.0990082519264589,-0.00982136811797916,0.250277384719422,1000
"UC3","delta_see","see","Error",0.0445862133609683,0.0124683378592541,0.168897402242254,1000
"UC3","delta_percent_see","percent_see","Error",7324.37720135677,-2.8699340842052,7.60076619160253,1000
"UC3","delta_R_whole","R_whole","Error",54.0771916120484,-0.400497759363559,1.66330423513048,1000
"UC3","delta_R_ari","R_ari","Error",8180.95727325431,2.77774938054909,6.54261157217902,1000
"UC3","delta_R_geo","R_geo","Error",0.0361086148800075,0.000271782921870093,0.150639000618861,1000
"UC3","delta_pearson_corr","pearson_corr","Correlation",0.00108186445373143,-0.00140788256893206,0.024424866825229,1000
"UC3","delta_spearman_corr","spearman_corr","Correlation",0.00293851894446695,-0.0167081050626192,0.0393542238326417,1000
"UC3","delta_mape","mape","Percentage Error",0.637321022821972,-0.17519768070481,0.690047702639528,1000
"UC3","delta_smape","smape","Percentage Error",0.074290663570689,-0.0176336607082571,0.214873758626204,1000
"UC3","delta_cn_smape","cn_smape","Percentage Error",0.00995642317353547,-0.00454451313853035,0.0777635248521897,1000
"Bad","delta_ols_r2","ols_r2","R-squared",1.72171336977237,0.706441827607482,1.36672245572847,1000
"Bad","delta_adjusted_r2","adjusted_r2","R-squared",288.437521959553,1.1466897455247,4.76587397316501,1000
"Bad","delta_mse","mse","Error",0.120001604196126,-0.02375636212112,0.277643250736445,1000
"Bad","delta_rmse","rmse","Error",0.0315089089828358,-0.0125155051344439,0.141054533134742,1000
"Bad","delta_mae","mae","Error",0.0369251642050101,-0.0111438960672538,0.152454567703333,1000
"Bad","delta_median_ae","median_ae","Error",0.0838195544885769,-0.0262292183092158,0.233568025432827,1000
"Bad","delta_see","see","Error",0.0315305269755313,0.0271889048934203,0.143991469704406,1000
"Bad","delta_percent_see","percent_see","Error",2383.94680391312,-0.948920322237031,5.8177539247804,1000
"Bad","delta_R_whole","R_whole","Error",740.240942412517,1.89342533829657,4.92060976141932,1000
"Bad","delta_R_ari","R_ari","Error",533.009856855395,0.847385477310868,4.29618714897859,1000
"Bad","delta_R_geo","R_geo","Error",0.193214501685317,-0.0303922665828334,0.349680048901277,1000
"Bad","delta_pearson_corr","pearson_corr","Correlation",1193.95938639364,0.972211216678934,6.63374395239597,1000
"Bad","delta_spearman_corr","spearman_corr","Correlation",1595.3360061948,0.475676231940893,6.64347825992655,1000
"Bad","delta_mape","mape","Percentage Error",0.218082021703975,-0.0655251189127986,0.346725565657793,1000
"Bad","delta_smape","smape","Percentage Error",0.00940244687008871,-0.00517353363226733,0.0732967011484609,1000
"Bad","delta_cn_smape","cn_smape","Percentage Error",0.121325603378666,-0.0228214360245734,0.265116300284508,1000
