"Case","Tree_Type","Subset_Type","N","s","MeanOffCor","MaxOffCor","MIESS","off_mean","rmax","MeanESS","neff_mean"
"Balanced_Dispersed","balanced","dispersed",32,8,0.114285714285714,0.4,4.44444444444444,0.114285714285714,0.4,4.44444444444444,4.44444444444444
"Balanced_Clustered","balanced","clustered",32,8,0.514285714285714,0.8,1.73913043478261,0.514285714285714,0.8,1.73913043478261,1.73913043478261
"Ladder_Dispersed","ladder","dispersed",32,8,0.0645161290322581,0.193548387096774,5.70277350999035,0.0645161290322581,0.193548387096774,5.70277350999035,5.70277350999035
"Ladder_Clustered","ladder","clustered",32,8,0.838709677419355,0.967741935483871,1.19175207359497,0.838709677419355,0.967741935483871,1.19175207359497,1.19175207359497
