"tree_id","tree_seed","n_tips","subset_size","n_null_reps","maximize","observed_subset","observed_subset_names","observed_MinPD","observed_MeanPD","observed_MeanNND","null_mean_MinPD","null_sd_MinPD","null_q95_MinPD","null_mean_MeanPD","null_sd_MeanPD","null_q95_MeanPD","null_mean_MeanNND","null_sd_MeanNND","null_q95_MeanNND","z_MinPD","z_MeanPD","z_MeanNND","percentile_MinPD","percentile_MeanPD","percentile_MeanNND","p_emp_MinPD","p_emp_MeanPD","p_emp_MeanNND","above95_MinPD","above95_MeanPD","above95_MeanNND"
2,20260411,256,20,1000,TRUE,191,"RT002_191",11.9324485801367,20.3361856878465,13.3720806113861,2.95456327547747,1.105927933376,5.27153685173341,16.3048501109418,0.797075134766255,17.5910606656119,7.3832500977435,0.778965313920762,8.67158599032758,8.11796594851622,5.05766069103001,7.68818637571811,1,1,1,0.000999000999000999,0.000999000999000999,0.000999000999000999,TRUE,TRUE,TRUE
2,20260411,256,20,1000,TRUE,159,"RT002_159",11.9324485801367,20.3361856878465,13.3720806113861,2.95456327547747,1.105927933376,5.27153685173341,16.3048501109418,0.797075134766255,17.5910606656119,7.3832500977435,0.778965313920762,8.67158599032758,8.11796594851622,5.05766069103001,7.68818637571811,1,1,1,0.000999000999000999,0.000999000999000999,0.000999000999000999,TRUE,TRUE,TRUE
2,20260411,256,20,1000,TRUE,166,"RT002_166",11.9324485801367,20.3361856878465,13.3720806113861,2.95456327547747,1.105927933376,5.27153685173341,16.3048501109418,0.797075134766255,17.5910606656119,7.3832500977435,0.778965313920762,8.67158599032758,8.11796594851622,5.05766069103001,7.68818637571811,1,1,1,0.000999000999000999,0.000999000999000999,0.000999000999000999,TRUE,TRUE,TRUE
2,20260411,256,20,1000,TRUE,231,"RT002_231",11.9324485801367,20.3361856878465,13.3720806113861,2.95456327547747,1.105927933376,5.27153685173341,16.3048501109418,0.797075134766255,17.5910606656119,7.3832500977435,0.778965313920762,8.67158599032758,8.11796594851622,5.05766069103001,7.68818637571811,1,1,1,0.000999000999000999,0.000999000999000999,0.000999000999000999,TRUE,TRUE,TRUE
2,20260411,256,20,1000,TRUE,210,"RT002_210",11.9324485801367,20.3361856878465,13.3720806113861,2.95456327547747,1.105927933376,5.27153685173341,16.3048501109418,0.797075134766255,17.5910606656119,7.3832500977435,0.778965313920762,8.67158599032758,8.11796594851622,5.05766069103001,7.68818637571811,1,1,1,0.000999000999000999,0.000999000999000999,0.000999000999000999,TRUE,TRUE,TRUE
2,20260411,256,20,1000,TRUE,134,"RT002_134",11.9324485801367,20.3361856878465,13.3720806113861,2.95456327547747,1.105927933376,5.27153685173341,16.3048501109418,0.797075134766255,17.5910606656119,7.3832500977435,0.778965313920762,8.67158599032758,8.11796594851622,5.05766069103001,7.68818637571811,1,1,1,0.000999000999000999,0.000999000999000999,0.000999000999000999,TRUE,TRUE,TRUE
2,20260411,256,20,1000,TRUE,46,"RT002_046",11.9324485801367,20.3361856878465,13.3720806113861,2.95456327547747,1.105927933376,5.27153685173341,16.3048501109418,0.797075134766255,17.5910606656119,7.3832500977435,0.778965313920762,8.67158599032758,8.11796594851622,5.05766069103001,7.68818637571811,1,1,1,0.000999000999000999,0.000999000999000999,0.000999000999000999,TRUE,TRUE,TRUE
2,20260411,256,20,1000,TRUE,14,"RT002_014",11.9324485801367,20.3361856878465,13.3720806113861,2.95456327547747,1.105927933376,5.27153685173341,16.3048501109418,0.797075134766255,17.5910606656119,7.3832500977435,0.778965313920762,8.67158599032758,8.11796594851622,5.05766069103001,7.68818637571811,1,1,1,0.000999000999000999,0.000999000999000999,0.000999000999000999,TRUE,TRUE,TRUE
2,20260411,256,20,1000,TRUE,99,"RT002_099",11.9324485801367,20.3361856878465,13.3720806113861,2.95456327547747,1.105927933376,5.27153685173341,16.3048501109418,0.797075134766255,17.5910606656119,7.3832500977435,0.778965313920762,8.67158599032758,8.11796594851622,5.05766069103001,7.68818637571811,1,1,1,0.000999000999000999,0.000999000999000999,0.000999000999000999,TRUE,TRUE,TRUE
2,20260411,256,20,1000,TRUE,253,"RT002_253",11.9324485801367,20.3361856878465,13.3720806113861,2.95456327547747,1.105927933376,5.27153685173341,16.3048501109418,0.797075134766255,17.5910606656119,7.3832500977435,0.778965313920762,8.67158599032758,8.11796594851622,5.05766069103001,7.68818637571811,1,1,1,0.000999000999000999,0.000999000999000999,0.000999000999000999,TRUE,TRUE,TRUE
2,20260411,256,20,1000,TRUE,185,"RT002_185",11.9324485801367,20.3361856878465,13.3720806113861,2.95456327547747,1.105927933376,5.27153685173341,16.3048501109418,0.797075134766255,17.5910606656119,7.3832500977435,0.778965313920762,8.67158599032758,8.11796594851622,5.05766069103001,7.68818637571811,1,1,1,0.000999000999000999,0.000999000999000999,0.000999000999000999,TRUE,TRUE,TRUE
2,20260411,256,20,1000,TRUE,222,"RT002_222",11.9324485801367,20.3361856878465,13.3720806113861,2.95456327547747,1.105927933376,5.27153685173341,16.3048501109418,0.797075134766255,17.5910606656119,7.3832500977435,0.778965313920762,8.67158599032758,8.11796594851622,5.05766069103001,7.68818637571811,1,1,1,0.000999000999000999,0.000999000999000999,0.000999000999000999,TRUE,TRUE,TRUE
2,20260411,256,20,1000,TRUE,114,"RT002_114",11.9324485801367,20.3361856878465,13.3720806113861,2.95456327547747,1.105927933376,5.27153685173341,16.3048501109418,0.797075134766255,17.5910606656119,7.3832500977435,0.778965313920762,8.67158599032758,8.11796594851622,5.05766069103001,7.68818637571811,1,1,1,0.000999000999000999,0.000999000999000999,0.000999000999000999,TRUE,TRUE,TRUE
2,20260411,256,20,1000,TRUE,127,"RT002_127",11.9324485801367,20.3361856878465,13.3720806113861,2.95456327547747,1.105927933376,5.27153685173341,16.3048501109418,0.797075134766255,17.5910606656119,7.3832500977435,0.778965313920762,8.67158599032758,8.11796594851622,5.05766069103001,7.68818637571811,1,1,1,0.000999000999000999,0.000999000999000999,0.000999000999000999,TRUE,TRUE,TRUE
2,20260411,256,20,1000,TRUE,23,"RT002_023",11.9324485801367,20.3361856878465,13.3720806113861,2.95456327547747,1.105927933376,5.27153685173341,16.3048501109418,0.797075134766255,17.5910606656119,7.3832500977435,0.778965313920762,8.67158599032758,8.11796594851622,5.05766069103001,7.68818637571811,1,1,1,0.000999000999000999,0.000999000999000999,0.000999000999000999,TRUE,TRUE,TRUE
2,20260411,256,20,1000,TRUE,55,"RT002_055",11.9324485801367,20.3361856878465,13.3720806113861,2.95456327547747,1.105927933376,5.27153685173341,16.3048501109418,0.797075134766255,17.5910606656119,7.3832500977435,0.778965313920762,8.67158599032758,8.11796594851622,5.05766069103001,7.68818637571811,1,1,1,0.000999000999000999,0.000999000999000999,0.000999000999000999,TRUE,TRUE,TRUE
2,20260411,256,20,1000,TRUE,243,"RT002_243",11.9324485801367,20.3361856878465,13.3720806113861,2.95456327547747,1.105927933376,5.27153685173341,16.3048501109418,0.797075134766255,17.5910606656119,7.3832500977435,0.778965313920762,8.67158599032758,8.11796594851622,5.05766069103001,7.68818637571811,1,1,1,0.000999000999000999,0.000999000999000999,0.000999000999000999,TRUE,TRUE,TRUE
2,20260411,256,20,1000,TRUE,178,"RT002_178",11.9324485801367,20.3361856878465,13.3720806113861,2.95456327547747,1.105927933376,5.27153685173341,16.3048501109418,0.797075134766255,17.5910606656119,7.3832500977435,0.778965313920762,8.67158599032758,8.11796594851622,5.05766069103001,7.68818637571811,1,1,1,0.000999000999000999,0.000999000999000999,0.000999000999000999,TRUE,TRUE,TRUE
2,20260411,256,20,1000,TRUE,81,"RT002_081",11.9324485801367,20.3361856878465,13.3720806113861,2.95456327547747,1.105927933376,5.27153685173341,16.3048501109418,0.797075134766255,17.5910606656119,7.3832500977435,0.778965313920762,8.67158599032758,8.11796594851622,5.05766069103001,7.68818637571811,1,1,1,0.000999000999000999,0.000999000999000999,0.000999000999000999,TRUE,TRUE,TRUE
2,20260411,256,20,1000,TRUE,70,"RT002_070",11.9324485801367,20.3361856878465,13.3720806113861,2.95456327547747,1.105927933376,5.27153685173341,16.3048501109418,0.797075134766255,17.5910606656119,7.3832500977435,0.778965313920762,8.67158599032758,8.11796594851622,5.05766069103001,7.68818637571811,1,1,1,0.000999000999000999,0.000999000999000999,0.000999000999000999,TRUE,TRUE,TRUE
