"Model","Metric","Mean_Dispersed","Mean_Clustered","Mean_Random","P_Dispersed_vs_Clustered","P_Dispersed_vs_Random","P_Random_vs_Clustered","N_Dispersed","N_Clustered","N_Random"
"Lambda1","K",0.732293607382532,0.584511972147016,0.702140951114574,0.5,0.367632367632368,0.196803196803197,1,1,1000
"Lambda1","Lambda",7.33137435857406e-05,0.401172769558323,0.618671740915258,1,1,0.297702297702298,1,1,1000
"Lambda1","MoransI",-0.0374426036483568,0.0067735388623779,0.0125608523348117,0.5,0.225774225774226,0.194805194805195,1,1,1000
"Lambda1","mpnns",0.341504260057764,0.524355916063053,0.436767806331644,1,0.981018981018981,0.971028971028971,1,1,1000
"Lambda1","mean_offdiag_cor",0.133520409542195,0.337840713871757,0.154621041343285,1,0.989010989010989,1,1,1,1000
"Lambda1","max_offdiag_cor",0.670820393249937,0.888888888888889,0.896324373268974,1,1,0.351648351648352,1,1,1000
"Lambda1","ess_1",6.22673160903244,2.78914204746242,5.54372074565224,1,0.989010989010989,1,1,1,1000
"Lambda1","ess_2",13.3325440462146,5.48793644516503,10.892345769632,1,1,1,1,1,1000
"Lambda0.7","K",1.19352264447429,0.725167075811143,1.19311984001241,0.5,0.441558441558442,0.012987012987013,1,1,1000
"Lambda0.7","Lambda",0.999926686256414,0.941561141681558,0.981712205696323,0.5,0.699300699300699,0.120879120879121,1,1,1000
"Lambda0.7","MoransI",0.0368046472206939,0.0804906820143877,0.0752066591930856,1,0.859140859140859,0.575424575424575,1,1,1000
"Lambda0.7","mpnns",0.456601036436942,0.471821600593227,0.438981114554439,1,0.364635364635365,0.767232767232767,1,1,1000
"Lambda0.7","mean_offdiag_cor",0.159533755412805,0.340335559245054,0.171832334232744,1,0.892107892107892,1,1,1,1000
"Lambda0.7","max_offdiag_cor",0.745156698529586,0.888888888888889,0.886202168168199,1,1,0.481518481518482,1,1,1000
"Lambda0.7","ess_1",5.38217982862158,2.77046626320628,5.07252510302072,1,0.892107892107892,1,1,1,1000
