"Scenario","Type","Avg_Variance","Max_Variance","Min_Variance","Avg_AbsDelta","n_Metrics"
"Good","Correlation",0.450503814217173,1.78056096338906,3.97035447762801e-05,0.197529927997533,4
"Good","Error",4.85036656485122,53.8058982367452,0.0012279954261336,0.427468126861819,14
"Good","Percentage Error",0.173773731111873,0.399200843412334,0.00234255618402425,0.273221460815642,3
"Good","R-squared",1208.60028082947,4833.94107789327,0.000158766938954298,3.17554640785873,4
"UC1","Correlation",0.0605938597733117,0.171655408689899,0.00200783887897387,0.103102874608118,4
"UC1","Error",501.691550627764,3549.58132491161,0.0193400687351158,1.0484309132082,14
"UC1","Percentage Error",0.274779681063806,0.517768548978015,0.00979011300115814,0.334197035559135,3
"UC1","R-squared",10.5365534052684,41.7484888359604,0.0116848473543603,0.316535365261858,4
"UC2_st","Correlation",0.0347094411492751,0.0609410606110063,0.0150540073983483,0.100043236682363,4
"UC2_st","Error",439.498523804254,5494.42367152678,0.0171953675335812,0.757353787083124,14
"UC2_st","Percentage Error",0.137058698999346,0.35508337327883,0.0271168721860122,0.233440690745405,3
"UC2_st","R-squared",27399.9698710394,109599.579184519,0.0521032020341379,2.51937789580282,4
"UC2_wk","Correlation",42.0503258646165,164.588183253397,0.0128437042341261,0.866407137209949,4
"UC2_wk","Error",1197.7872333695,16564.3750269676,0.0247144736750897,0.758694863785549,14
"UC2_wk","Percentage Error",0.159956052072621,0.419188010742692,0.0118527686437413,0.258617664457579,3
"UC2_wk","R-squared",0.593469881990289,1.41752771429746,0.0482214897981536,0.719479791399719,4
"UC3","Correlation",0.0173948353128869,0.0230439489007727,0.0138669962528468,0.0812389591068756,4
"UC3","Error",234.275833119084,1892.54885975229,0.018058599948985,0.736788901733308,14
"UC3","Percentage Error",0.388029698725653,0.704153007627603,0.00851060896815186,0.396615396016398,3
"UC3","R-squared",0.0662717366156539,0.0764778593207522,0.0466426692661992,0.154319609774309,4
"UC4","Correlation",4768.03205169403,12976.4442035984,459.324739601611,8.04369941734659,4
"UC4","Error",88.1394686513665,752.363940835796,0.0174397458909472,0.625520601720987,14
"UC4","Percentage Error",0.126459652451852,0.308451659422099,0.0170858468279249,0.223508266954702,3
"UC4","R-squared",71254.8444475911,285014.876692497,0.949670540856794,4.94703501549118,4
