"Scenario","Metric","CleanMetric","Type","Variance","MeanDelta","AbsMeanDelta","N"
"Good","delta_ols_r2","ols_r2","R-squared",0.000158766938954298,-0.000901865272311754,0.00753143746812313,2500
"Good","delta_adjusted_r2","adjusted_r2","R-squared",0.000172688890971594,-0.00158758032715599,0.007802354236976,2500
"Good","delta_pic_r2","pic_r2","R-squared",0.459713968775028,0.747959288753297,0.877826271421569,2500
"Good","delta_whitened_r2","whitened_r2","R-squared",4833.94107789327,-0.399495554713901,11.8090255683082,2500
"Good","delta_mse","mse","Error",0.101707659360676,-0.0261890580796044,0.258620057055464,2500
"Good","delta_rmse","rmse","Error",0.0264133951059613,-0.0134972543486785,0.130980897683435,2500
"Good","delta_mae","mae","Error",0.0296464019072241,-0.00905821664758927,0.138803572259164,2500
"Good","delta_median_ae","median_ae","Error",0.0657023656056601,-0.0192393730348521,0.205149112271898,2500
"Good","delta_pic_rmse","pic_rmse","Error",0.316527609100438,-0.786519154499995,0.863747209235409,2500
"Good","delta_pic_mae","pic_mae","Error",0.139481131540783,-0.677493605241861,0.705850582665229,2500
"Good","delta_whitened_rmse","whitened_rmse","Error",0.368601403612823,-0.650803385420932,0.779947750989429,2500
"Good","delta_whitened_mae","whitened_mae","Error",0.174710620511868,-0.643303119841139,0.675130886378242,2500
"Good","delta_see","see","Error",0.0264216377233164,0.0164233487030438,0.131878973229739,2500
"Good","delta_percent_see","percent_see","Error",53.8058982367452,0.227444024740627,1.29398728027911,2500
"Good","delta_R_whole","R_whole","Error",0.705097851104623,-0.0145963085881975,0.104724019586481,2500
"Good","delta_R_ari","R_ari","Error",12.1360447214398,0.209836946173564,0.610379318744335,2500
"Good","delta_R_geo","R_geo","Error",0.00765087873250569,3.80370304045451e-05,0.0602266674240399,2500
"Good","delta_R_median","R_median","Error",0.0012279954261336,-5.97225194182927e-05,0.0251274482634824,2500
"Good","delta_pearson_corr","pearson_corr","Correlation",3.97035447762801e-05,-0.000451072154412796,0.00376591969273789,2500
"Good","delta_spearman_corr","spearman_corr","Correlation",0.000411431213243099,-0.0078547723867715,0.0133139172949733,2500
"Good","delta_pic_pearson","pic_pearson","Correlation",1.78056096338906,0.456906245418019,0.575635375312221,2500
"Good","delta_pic_spearman","pic_spearman","Correlation",0.0210031587216167,0.174717812079478,0.197404499690199,2500
"Good","delta_mape","mape","Percentage Error",0.399200843412334,-0.15127752896834,0.505313755335299,2500
"Good","delta_smape","smape","Percentage Error",0.119777793739262,-0.053019793963274,0.280841169777464,2500
"Good","delta_cn_smape","cn_smape","Percentage Error",0.00234255618402425,0.00089120011099143,0.0335094573341626,2500
"UC1","delta_ols_r2","ols_r2","R-squared",0.147281603247938,-0.0322790104299218,0.230142949986758,2500
"UC1","delta_adjusted_r2","adjusted_r2","R-squared",0.23875833451079,-0.0837470265988906,0.265778555112012,2500
"UC1","delta_pic_r2","pic_r2","R-squared",0.0116848473543603,-0.105188267721823,0.106649380786332,2500
"UC1","delta_whitened_r2","whitened_r2","R-squared",41.7484888359604,-0.0282588914051252,0.663570575162328,2500
"UC1","delta_mse","mse","Error",0.289646937979236,-0.0820249022864734,0.377577824184102,2500
"UC1","delta_rmse","rmse","Error",0.155527825851307,-0.0678758772225182,0.221029695168864,2500
"UC1","delta_mae","mae","Error",0.289646937979236,-0.0820249022864734,0.377577824184102,2500
"UC1","delta_median_ae","median_ae","Error",2.6811720707103,0.671009771986971,1.5700325732899,307
"UC1","delta_pic_rmse","pic_rmse","Error",0.179764036131059,0.558905148975904,0.66349715433214,2500
"UC1","delta_pic_mae","pic_mae","Error",0.260876329333682,1.07529615098863,1.17933462484434,2500
"UC1","delta_whitened_rmse","whitened_rmse","Error",0.18178259223021,0.553800544059305,0.658137968194217,2500
"UC1","delta_whitened_mae","whitened_mae","Error",0.245497947504655,0.885353164607967,0.989655418932849,2500
"UC1","delta_see","see","Error",0.158515303434864,-0.0389597478868588,0.223430306072865,2500
"UC1","delta_percent_see","percent_see","Error",2883.43503328018,-1.58527184831304,3.30148477864039,2500
"UC1","delta_R_whole","R_whole","Error",3549.58132491161,1.29226788192138,3.32167835635196,2500
"UC1","delta_R_ari","R_ari","Error",578.71954558552,0.354221156268898,1.47304988067947,2500
"UC1","delta_R_geo","R_geo","Error",0.0193400687351158,-0.00451915605482653,0.0917438648200644,2500
"UC1","delta_R_median","R_median","Error",7.48403496149608,-0.0951790222713538,0.229802515219473,2500
"UC1","delta_pearson_corr","pearson_corr","Correlation",0.0656680375421726,-0.0258782087717202,0.126637111171774,2500
"UC1","delta_spearman_corr","spearman_corr","Correlation",0.171655408689899,-0.0335806180048105,0.186269199600272,2500
"UC1","delta_pic_pearson","pic_pearson","Correlation",0.00304415398220107,-0.0528992097467715,0.053624914098634,2500
"UC1","delta_pic_spearman","pic_spearman","Correlation",0.00200783887897387,-0.0448919151285804,0.0458802735617907,2500
"UC1","delta_mape","mape","Percentage Error",0.517768548978015,-0.161398365763856,0.552632805427025,2500
"UC1","delta_smape","smape","Percentage Error",0.296780381212245,-0.0837292088761936,0.385211340523993,2500
"UC1","delta_cn_smape","cn_smape","Percentage Error",0.00979011300115814,-0.00199237267542846,0.0647469607263876,2500
"UC2_st","delta_ols_r2","ols_r2","R-squared",0.0967494816774866,-0.0172030906203705,0.177243558049311,2500
"UC2_st","delta_adjusted_r2","adjusted_r2","R-squared",0.151446954597849,-0.0519494339821476,0.199944127418605,2500
"UC2_st","delta_pic_r2","pic_r2","R-squared",0.0521032020341379,-0.0261194013888558,0.152714631873203,2500
